,article_num,article_sha256,quiz_task_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
141,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,da4b56f5-99ed-4c9d-a337-8365fa779662,ordinal,4,0.7676068419126659,0.7676068419126659,[],,,0.7676068419126659,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all",True
125,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,4731c0ff-5306-4871-88ad-874e351d692f,ordinal,2,0.6327614163694963,0.6327614163694963,"[3213, 3214, 3215, 3216, 3217, 3218, 3219, 3220, 3221, 3222, 3223, 3224, 3225, 3226, 3227, 3228, 3229, 3230, 3231, 3232, 3233, 3234, 3235, 3236, 3237, 3238, 3239, 3240, 3241]",0.4476064218583259,0.3248221486966173,0.5401839191139111,12,4,probably more than one reason,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"Yes, implicitly",True
138,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,0.918905779905134,0.918905779905134,[],,,0.918905779905134,12,3,,Are any numbers given?,No,True
135,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,3bcd2782-28d2-4e2e-b7d7-d6f716395412,ordinal,1,0.62074047540105,0.62074047540105,"[261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276]",0.465216982941137,0.2887262153644351,0.5429787291710935,12,3,at least in part,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
126,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,12,dc5d351d-60e6-4b79-a549-5e1f3d360851,ordinal,3,0.8764139158675059,0.8764139158675059,L,L,L,0.43820695793375297,5,4,,Does the text acknowledge the possibility of additional evidence that would (check all that apply):,Add evidence to the claim,True
121,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,3bcd2782-28d2-4e2e-b7d7-d6f716395412,ordinal,1,0.918905779905134,0.918905779905134,"[3086, 3087, 3088, 3089, 3090, 3091, 3092]",0.19620989512347387,0.19114091392695287,0.5575578375143039,12,3,We know,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
127,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,dd10b66b-584c-4e57-8fc0-fa738f1d2d89,ordinal,7,0.8313644260424261,0.8313644260424261,[],,,0.8313644260424261,12,10,,"How confident are you about your answers, on the whole?",7,True
98,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,dd10b66b-584c-4e57-8fc0-fa738f1d2d89,ordinal,7,0.8038871403672869,0.8038871403672869,[],,,0.8038871403672869,11,10,,"How confident are you about your answers, on the whole?",7,True
96,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.7273784162544982,0.7273784162544982,[],,,0.7273784162544982,11,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
132,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.7788900148005601,0.7788900148005601,[],,,0.7788900148005601,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
157,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.7740381219969353,0.7740381219969353,[],,,0.7740381219969353,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
87,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.6849891211777994,0.6849891211777994,"[9528, 9529, 9530, 9531, 9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551, 9552, 9553, 9554, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 9565]",0.644446640546331,0.644446640546331,0.6647178808620653,13,4,the possibility that we might be wrong,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
131,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,1.0,1.0,[],,,1.0,12,3,,Are any numbers given?,No,True
154,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,0.918905779905134,0.918905779905134,[],,,0.918905779905134,12,3,,Are any numbers given?,No,True
134,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,fc0224b1-ef3f-4af7-b33f-a01fe57e9540,ordinal,6,0.8006240210491449,0.8006240210491449,[],,,0.8006240210491449,12,10,,"How confident are you about your answers, on the whole?",6,True
85,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,0,ordinal,M,0.5596322760555948,0.5596322760555948,M,M,M,0.2798161380277974,13,3,M,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",M,True
130,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,ee7111c1-d9df-4d98-9c42-118bcaf64d04,ordinal,3,0.6879896910350257,0.6879896910350257,"[569, 570, 571, 572, 573, 574, 575, 576, 577, 578]",0.7313418579443755,0.7313418579443755,0.7096657744897006,12,3,apparently,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
89,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,4f09aca4-57c9-40a1-a33f-a490e8ee8485,ordinal,5,0.8027020553067244,0.8027020553067244,[],,,0.8027020553067244,13,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
153,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,779779b2-6509-46c4-bbbc-18c1cc298422,ordinal,2,0.6451619113216152,0.6451619113216152,L,L,L,0.3225809556608076,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
86,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,1.0,1.0,[],,,1.0,13,3,,Are any numbers given?,No,True
159,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,4ccdff5e-4750-4368-90f2-40de922c013f,ordinal,8,0.7849556709684711,0.7849556709684711,[],,,0.7849556709684711,12,10,,"How confident are you about your answers, on the whole?",8,True
151,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,98ab30f2-722e-4d29-8de6-d39ba4816952,ordinal,3,0.6755517946523557,0.6755517946523557,"[9086, 9087, 9088, 9089, 9090]",0.7584481834480294,0.7584481834480294,0.7169999890501926,12,3,seems,Does the text make any claims with great confidence? Highlight the relevant part.,No,True
129,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.6866879778291937,0.6866879778291937,[],,,0.6866879778291937,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
84,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.6813488190905544,0.6813488190905544,[],,,0.6813488190905544,13,5,,To what extent does the confidence seem justified?,Mostly justified,True
128,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,b95421a6-e17a-41d8-af7d-3d639bc534dc,ordinal,2,0.6838582616694376,0.6838582616694376,"[565, 566, 567, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578]",0.3088368609590739,0.3088368609590739,0.4963475613142558,12,3,has apparently,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
83,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,b95421a6-e17a-41d8-af7d-3d639bc534dc,ordinal,2,0.7300173073594665,0.7300173073594665,"[9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551, 9552, 9553, 9554, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 9565]",0.4250476905760715,0.3582628200304664,0.577532498967769,13,3,possibility that we might be wrong,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
152,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,46b42a03-4765-4644-a834-b6755171bc54,ordinal,3,0.6937809990113853,0.6937809990113853,[],,,0.6937809990113853,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
46,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,0,ordinal,M,0.5697620779945022,0.5697620779945022,M,M,M,0.2848810389972511,12,4,M,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,M,True
48,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,4ccdff5e-4750-4368-90f2-40de922c013f,ordinal,8,0.8173473393066778,0.8173473393066778,[],,,0.8173473393066778,12,10,,"How confident are you about your answers, on the whole?",8,True
41,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,2,5aebf433-a606-4b5c-8e30-50afe39e951e,ordinal,2,0.8269227161988467,0.8269227161988467,[],,,0.8269227161988467,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
42,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,5,779779b2-6509-46c4-bbbc-18c1cc298422,ordinal,2,0.6451619113216152,0.6451619113216152,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",0.4261588081274299,0.4261588081274299,0.5356603597245225,12,3,could//may//believes,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
43,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,6,54c3ed71-0715-4b42-af27-82b74af98706,ordinal,1,0.918905779905134,0.918905779905134,[],,,0.918905779905134,12,3,,Are any numbers given?,No,True
40,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,3bcd2782-28d2-4e2e-b7d7-d6f716395412,ordinal,1,0.6773079182363039,0.6773079182363039,"[1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643]",0.27054100637169,0.21923837487612552,0.473924462303997,12,3,actually changed,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
13,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.7298829227732895,0.7298829227732895,L,L,L,0.3649414613866448,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
71,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.7298829227732895,0.7298829227732895,[],,,0.7298829227732895,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
144,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,3bcd2782-28d2-4e2e-b7d7-d6f716395412,ordinal,1,0.8530339859564858,0.8530339859564858,"[6840, 6841, 6842, 6843, 6844, 6845, 6846, 6847, 6848, 6849, 6850, 6851, 6852, 6853, 6854, 6855]",0.4310119901976832,0.4310119901976832,0.6420229880770845,12,3,the same risk as,Does the text make any claims with great confidence? Highlight the relevant part.,Yes,True
25,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,0,ordinal,M,0.7658599725768891,0.7658599725768891,M,M,M,0.3829299862884445,3,3,M,Does the text make any claims with great confidence? Highlight the relevant part.,M,True
80,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.8257942854990019,0.8257942854990019,L,L,L,0.41289714274950096,13,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
82,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,fc0224b1-ef3f-4af7-b33f-a01fe57e9540,ordinal,6,0.8121035885237688,0.8121035885237688,[],,,0.8121035885237688,13,10,,"How confident are you about your answers, on the whole?",6,True
29,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,11,9e097f70-8777-40ea-bb38-9a6143a15248,ordinal,3,0.8286346099994961,0.8286346099994961,[],,,0.8286346099994961,3,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
58,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,98ab30f2-722e-4d29-8de6-d39ba4816952,ordinal,3,0.9751647364541168,0.9751647364541168,"[450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473]",0.6967407658229983,0.6967407658229983,0.8359527511385576,13,3,began taking a few puffs,Does the text make any claims with great confidence? Highlight the relevant part.,No,True
30,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,14,4f09aca4-57c9-40a1-a33f-a490e8ee8485,ordinal,5,0.8986646043699666,0.8986646043699666,[],,,0.8986646043699666,3,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
67,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,ec89ed7bea5590f2895c70af9c9c45b1f948ae50d5cca4279dd5104fc6cdd37d,1,b95421a6-e17a-41d8-af7d-3d639bc534dc,ordinal,2,0.7684461238129617,0.7684461238129617,"[, 997, , 998, , 999, 1000, 1001, 1002, 1003]",0.40208375766981097,0.40208375766981097,0.5852649407413864,12,3,seem to,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
