,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
253,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,dc82baa7-5671-4798-bf9b-14ef7517dd31,Reasoning Specialist V4,9,ordinal,5,0.823090120515034,0.823090120515034,[],,,0.823090120515034,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
23,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,9,ordinal,7,0.8081106063300281,0.8081106063300281,[],,,0.8081106063300281,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",7,True
145,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,71bbab1a-a97e-48bb-b732-f418a7fcadf2,Reasoning Specialist V4,9,ordinal,5,0.7894769806620451,0.7894769806620451,[],,,0.7894769806620451,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
229,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d122b184-d61a-4080-858a-bf995697d823,Reasoning Specialist V4,9,ordinal,6,0.8314356362978708,0.8314356362978708,[],,,0.8314356362978708,0.5,0.5,11,10,,"How difficult was this task for you, on the whole?",6,True
198,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b2276416-3ad7-43e4-a349-526a79c8315f,Reasoning Specialist V4,9,ordinal,3,0.8141948686560216,0.8141948686560216,[],,,0.8141948686560216,0.5,0.5,13,10,,"How difficult was this task for you, on the whole?",3,True
53,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,1693f591-e3e7-4697-ab0f-3b59d90e2b6e,Reasoning Specialist V4,9,ordinal,5,0.7489561082648317,0.7489561082648317,[],,,0.7489561082648317,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
69,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,29629fff-e61c-49ad-abe7-098bedc67da7,Reasoning Specialist V4,9,ordinal,5,0.7448105708289064,0.7448105708289064,[],,,0.7448105708289064,0.5,0.5,11,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
311,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,f67c7f21-da84-4187-af58-44934eebb39a,Reasoning Specialist V4,9,ordinal,3,0.787251965033041,0.787251965033041,[],,,0.787251965033041,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",3,True
176,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9cec162a-1dc7-40b0-b022-a8c6cc5ce1f6,Reasoning Specialist V4,9,ordinal,4,0.7890649641828432,0.7890649641828432,[],,,0.7890649641828432,0.5,0.5,12,10,,"How difficult was this task for you, on the whole?",4,True
115,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6f3f18d1-e9e7-4b60-a126-89899180213e,Reasoning Specialist V4,10,ordinal,8,0.8663400486616106,0.8663400486616106,[],,,0.8663400486616106,0.5,0.5,11,10,,"How confident are you about your answers, on the whole?",8,True
146,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,71bbab1a-a97e-48bb-b732-f418a7fcadf2,Reasoning Specialist V4,10,ordinal,6,0.8270604722780456,0.8270604722780456,[],,,0.8270604722780456,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",6,True
70,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,29629fff-e61c-49ad-abe7-098bedc67da7,Reasoning Specialist V4,10,ordinal,5,0.7542502387933322,0.7542502387933322,[],,,0.7542502387933322,0.5,0.5,11,10,,"How confident are you about your answers, on the whole?",5: 50-50 that I had it on any given item,True
54,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,1693f591-e3e7-4697-ab0f-3b59d90e2b6e,Reasoning Specialist V4,10,ordinal,7,0.834863940435808,0.834863940435808,[],,,0.834863940435808,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",7,True
285,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,e07de70e-2080-4219-a69c-e9061b378fce,Reasoning Specialist V4,10,ordinal,5,0.7892596247328516,0.7892596247328516,[],,,0.7892596247328516,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",5: 50-50 that I had it on any given item,True
199,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b2276416-3ad7-43e4-a349-526a79c8315f,Reasoning Specialist V4,10,ordinal,8,0.8074972451729843,0.8074972451729843,[],,,0.8074972451729843,0.5,0.5,13,10,,"How confident are you about your answers, on the whole?",8,True
95,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,68a76ed1-a5f3-4077-aa76-8d82478dbb93,Reasoning Specialist V4,10,ordinal,5,0.8143460207716686,0.8143460207716686,[],,,0.8143460207716686,0.5,0.5,11,10,,"How confident are you about your answers, on the whole?",5: 50-50 that I had it on any given item,True
230,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d122b184-d61a-4080-858a-bf995697d823,Reasoning Specialist V4,10,ordinal,6,0.8997577037982702,0.8997577037982702,[],,,0.8997577037982702,0.5,0.5,11,10,,"How confident are you about your answers, on the whole?",6,True
24,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0f3d4008-7993-469c-82ea-55bd3334bbf0,Reasoning Specialist V4,10,ordinal,6,0.8665386257635854,0.8665386257635854,[],,,0.8665386257635854,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",6,True
254,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,dc82baa7-5671-4798-bf9b-14ef7517dd31,Reasoning Specialist V4,10,ordinal,6,0.8983830353883648,0.8983830353883648,[],,,0.8983830353883648,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",6,True
177,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9cec162a-1dc7-40b0-b022-a8c6cc5ce1f6,Reasoning Specialist V4,10,ordinal,7,0.8774634054057491,0.8774634054057491,[],,,0.8774634054057491,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",7,True
312,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,f67c7f21-da84-4187-af58-44934eebb39a,Reasoning Specialist V4,10,ordinal,7,0.8703437707962479,0.8703437707962479,[],,,0.8703437707962479,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",7,True
