,article_num,article_sha256,task_uuid,schema_namespace,question_Number,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,odds_by_chance,binary_odds_by_chance,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
151,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,1,ordinal,3,0.6755517946523557,0.6755517946523557,"[9086, 9087, 9088, 9089, 9090]",0.7584481834480294,0.7584481834480294,0.7169999890501926,0.5,0.5,12,3,seems,Does the text make any claims with great confidence? Highlight the relevant part.,No,True
9,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,1,ordinal,2,0.7236271874695049,0.7236271874695049,"[8155, 8156, 8157, 8158, 8159, 8160, 8161, 8162, 8163, 8164, 8165, 8166]",0.3554763304302424,0.3554763304302424,0.5395517589498737,0.5,0.5,12,3,also tend to,Does the text make any claims with great confidence? Highlight the relevant part.,Maybe,True
129,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,2,ordinal,2,0.6866879778291937,0.6866879778291937,[],,,0.6866879778291937,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
10,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,2,ordinal,3,0.6774443898168746,0.6774443898168746,[],,,0.6774443898168746,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
59,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,2,ordinal,1,0.9543918083934404,0.9543918083934404,[],,,0.9543918083934404,0.5,0.5,13,5,,To what extent does the confidence seem justified?,Completely justified,True
68,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,2,ordinal,2,0.7240816441744341,0.7240816441744341,[],,,0.7240816441744341,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
75,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,2,ordinal,2,0.5859463646430214,0.5859463646430214,[],,,0.5859463646430214,0.5,0.5,13,5,,To what extent does the confidence seem justified?,Mostly justified,True
84,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,2,ordinal,2,0.6813488190905544,0.6813488190905544,[],,,0.6813488190905544,0.5,0.5,13,5,,To what extent does the confidence seem justified?,Mostly justified,True
91,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,2,ordinal,2,0.7882545281188738,0.7882545281188738,[],,,0.7882545281188738,0.5,0.5,11,5,,To what extent does the confidence seem justified?,Mostly justified,True
41,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,2,ordinal,2,0.8269227161988467,0.8269227161988467,[],,,0.8269227161988467,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
136,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,2,ordinal,2,0.8082213927893762,0.8082213927893762,[],,,0.8082213927893762,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Mostly justified,True
122,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,2,ordinal,3,0.8088286353081535,0.8088286353081535,[],,,0.8088286353081535,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
145,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,2,ordinal,3,0.7327594771631538,0.7327594771631538,[],,,0.7327594771631538,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
152,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,2,ordinal,3,0.6937809990113853,0.6937809990113853,[],,,0.6937809990113853,0.5,0.5,12,5,,To what extent does the confidence seem justified?,Somewhat justified,True
137,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,5,ordinal,2,0.707518749639422,0.707518749639422,L,L,L,0.353759374819711,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
60,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,5,ordinal,3,1.0,1.0,[],,,1.0,0.5,0.5,13,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
27,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,5,ordinal,3,0.9871114450218768,0.9871114450218768,L,L,L,0.4935557225109384,0.5,0.5,3,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
153,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,5,ordinal,2,0.6451619113216152,0.6451619113216152,L,L,L,0.3225809556608076,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
76,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,5,ordinal,2,0.7042530310666268,0.7042530310666268,L,L,L,0.3521265155333134,0.5,0.5,13,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
123,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,5,ordinal,3,0.9773466659180378,0.9773466659180378,L,L,L,0.4886733329590189,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
42,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,5,ordinal,2,0.6451619113216152,0.6451619113216152,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",0.4261588081274299,0.4261588081274299,0.5356603597245225,0.5,0.5,12,3,could//may//believes,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
92,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,5,ordinal,2,0.6166240708746678,0.6166240708746678,L,L,L,0.3083120354373339,0.5,0.5,11,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.","Yes, implicitly",True
11,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,5,ordinal,3,0.5992703995259135,0.5992703995259135,L,L,L,0.2996351997629568,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
146,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,5,ordinal,3,0.6141379951385052,0.6141379951385052,L,L,L,0.3070689975692526,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
69,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,5,ordinal,3,0.6207404754010502,0.6207404754010502,L,L,L,0.3103702377005251,0.5,0.5,12,3,,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
130,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,5,ordinal,3,0.6879896910350257,0.6879896910350257,"[569, 570, 571, 572, 573, 574, 575, 576, 577, 578]",0.7313418579443755,0.7313418579443755,0.7096657744897006,0.5,0.5,12,3,apparently,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",No,True
86,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,13,3,,Are any numbers given?,No,True
147,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,12,3,,Are any numbers given?,No,True
70,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,12,3,,Are any numbers given?,No,True
154,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,6,ordinal,1,0.918905779905134,0.918905779905134,L,L,L,0.459452889952567,0.5,0.5,12,3,,Are any numbers given?,No,True
12,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,12,3,,Are any numbers given?,No,True
131,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,12,3,,Are any numbers given?,No,True
43,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,6,ordinal,1,0.918905779905134,0.918905779905134,L,L,L,0.459452889952567,0.5,0.5,12,3,,Are any numbers given?,No,True
61,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,6,ordinal,1,0.924599139867482,0.924599139867482,L,L,L,0.462299569933741,0.5,0.5,13,3,,Are any numbers given?,No,True
28,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,3,3,,Are any numbers given?,No,True
93,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,6,ordinal,1,0.7958243190060779,0.7958243190060779,[],,,0.7958243190060779,0.5,0.5,11,3,,Are any numbers given?,No,True
124,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,6,ordinal,1,1.0,1.0,[],,,1.0,0.5,0.5,12,3,,Are any numbers given?,No,True
138,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,6,ordinal,1,0.918905779905134,0.918905779905134,L,L,L,0.459452889952567,0.5,0.5,12,3,,Are any numbers given?,No,True
141,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,11,ordinal,4,0.7676068419126659,0.7676068419126659,L,L,L,0.38380342095633296,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all",True
125,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,11,ordinal,2,0.6327614163694963,0.6327614163694963,"[3213, 3214, 3215, 3216, 3217, 3218, 3219, 3220, 3221, 3222, 3223, 3224, 3225, 3226, 3227, 3228, 3229, 3230, 3231, 3232, 3233, 3234, 3235, 3236, 3237, 3238, 3239, 3240, 3241]",0.4476064218583259,0.3248221486966173,0.5401839191139111,0.5,0.5,12,4,probably more than one reason,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"Yes, implicitly",True
148,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,11,ordinal,3,0.7740381219969352,0.7740381219969352,L,L,L,0.3870190609984676,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
96,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,11,ordinal,3,0.7273784162544982,0.7273784162544982,"[2528, 2529, 2530, 2531, 2532, 2533, 2534, 2535, 2536, 2537, 2538, 2539, 2540, 2541, 2542, 2543, 2544, 2545, 2546, 2547, 2548, 2549, 2550, 2551, 2552, 2553, 2554, 2555, 2556, 2557, 2558, 2559, 2560, 2561, 2562, 2563, 2564, 2565]",0.30645146176911553,0.30645146176911553,0.5169149390118069,0.5,0.5,11,4,scientists haven’t conclusively proven,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
64,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,11,ordinal,4,0.7730916690723542,0.7730916690723542,L,L,L,0.3865458345361771,0.5,0.5,13,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,"No, not at all",True
132,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,11,ordinal,3,0.7788900148005601,0.7788900148005601,L,L,L,0.38944500740028,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
29,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,11,ordinal,3,0.8286346099994961,0.8286346099994961,[],,,0.8286346099994961,0.5,0.5,3,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
13,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,11,ordinal,3,0.7298829227732895,0.7298829227732895,L,L,L,0.3649414613866448,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
71,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,11,ordinal,3,0.7298829227732895,0.7298829227732895,L,L,L,0.3649414613866448,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
157,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability Specialist V4,11,ordinal,3,0.7740381219969353,0.7740381219969353,L,L,L,0.3870190609984677,0.5,0.5,12,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
87,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,11,ordinal,3,0.6849891211777994,0.6849891211777994,"[9528, 9529, 9530, 9531, 9532, 9533, 9534, 9535, 9536, 9537, 9538, 9539, 9540, 9541, 9542, 9543, 9544, 9545, 9546, 9547, 9548, 9549, 9550, 9551, 9552, 9553, 9554, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 9565]",0.644446640546331,0.644446640546331,0.6647178808620653,0.5,0.5,13,4,the possibility that we might be wrong,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
80,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,11,ordinal,3,0.8257942854990019,0.8257942854990019,L,L,L,0.41289714274950096,0.5,0.5,13,4,,Does the text acknowledge that additional evidence might shift our understanding of the topics discussed in the article?,I can't tell,True
15,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability Specialist V4,14,ordinal,5,0.7760715164508507,0.7760715164508507,[],,,0.7760715164508507,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
150,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability Specialist V4,14,ordinal,7,0.8859483671391206,0.8859483671391206,[],,,0.8859483671391206,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",7,True
127,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability Specialist V4,14,ordinal,7,0.8313644260424261,0.8313644260424261,[],,,0.8313644260424261,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",7,True
30,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,2865558d-1d6c-48af-8f25-35371e8c8301,Probability Specialist V4,14,ordinal,5,0.8986646043699666,0.8986646043699666,[],,,0.8986646043699666,0.5,0.5,3,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
134,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability Specialist V4,14,ordinal,6,0.8006240210491449,0.8006240210491449,[],,,0.8006240210491449,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",6,True
89,1731,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability Specialist V4,14,ordinal,5,0.8027020553067244,0.8027020553067244,[],,,0.8027020553067244,0.5,0.5,13,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
48,1737,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,49af7261-174a-4ade-a2e1-8208050e50bf,Probability Specialist V4,14,ordinal,8,0.8173473393066778,0.8173473393066778,[],,,0.8173473393066778,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",8,True
66,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability Specialist V4,14,ordinal,5,0.7184410268350022,0.7184410268350022,[],,,0.7184410268350022,0.5,0.5,13,10,,"How confident are you about your answers, on the whole?",5: 50-50,True
73,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability Specialist V4,14,ordinal,6,0.7787157980003384,0.7787157980003384,[],,,0.7787157980003384,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",6,True
82,1739,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability Specialist V4,14,ordinal,6,0.8121035885237688,0.8121035885237688,[],,,0.8121035885237688,0.5,0.5,13,10,,"How confident are you about your answers, on the whole?",6,True
98,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability Specialist V4,14,ordinal,7,0.8038871403672869,0.8038871403672869,[],,,0.8038871403672869,0.5,0.5,11,10,,"How confident are you about your answers, on the whole?",7,True
143,1728,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability Specialist V4,14,ordinal,8,0.8358611266224651,0.8358611266224651,[],,,0.8358611266224651,0.5,0.5,12,10,,"How confident are you about your answers, on the whole?",8,True
