schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q6.A9,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12,T1.Q13
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,2381df5d-1599-4fef-ac63-63cb29c18b72,http://pe.goodlylabs.org/project/SSSPECaus2/task/790,SSSPETest3,1722,1722SSSArticle.txt,fa0ce623-1ffa-4d65-ae55-7d581bbad9f7,6ce2df05-3a46-45e6-ac91-6831ac66b51c,2018-03-21 06:21:04.771790,2018-03-21 06:48:57.819926,1673.048136,,Very credible,Yes,1,0,1,1,1,1,1,0,0,,Fairly representative,There was no control condition,No,An increased number of fish absorbing oxygen may cause a decline in the amount of dissolved oxygen.,Somewhat less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,b2422429-2553-408c-8585-3228931fcd95,http://pe.goodlylabs.org/project/SSSPECaus2/task/798,SSSPETest2,1729,1729SSSArticle.txt,b5fa4271-3813-4dae-8b82-f4dd729989bc,cf3f019a-2492-4757-bcae-fe158e271690,2018-03-21 15:08:55.465720,2018-03-21 15:37:58.199439,1742.733719,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,b2422429-2553-408c-8585-3228931fcd95,http://pe.goodlylabs.org/project/SSSPECaus2/task/798,SSSPETest2,1729,1729SSSArticle.txt,f939132c-b09d-4ee3-acd0-60d2ad5b94af,2f74360a-0057-47ab-b6f0-ab099c188b45,2018-03-21 17:14:52.087433,2018-03-21 17:18:13.488487,201.401054,,Fairly credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,b2422429-2553-408c-8585-3228931fcd95,http://pe.goodlylabs.org/project/SSSPECaus2/task/798,SSSPETest2,1729,1729SSSArticle.txt,04cbd1ec-80bb-4ad1-80ca-0419ef0ca858,d7255378-8c40-43ea-9edd-0f12e2a4ef32,2018-03-21 17:13:40.729480,2018-03-21 17:26:10.579499,749.850019,,Fairly credible,Yes,0,0,0,1,0,0,1,0,0,,,,,The amount of soot and debris from industry has settled on the ice in Antarctica which absorbs more sun thereby warming the ice enough to melt.,Equally likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,b2422429-2553-408c-8585-3228931fcd95,http://pe.goodlylabs.org/project/SSSPECaus2/task/798,SSSPETest2,1729,1729SSSArticle.txt,8ec7e942-dbdf-40ab-8ed5-11b3b97bfa59,a5e048b7-525d-4691-acd0-81e79d4f8e90,2018-03-21 17:16:56.199896,2018-03-21 17:32:17.560788,921.360892,,Fairly credible,Yes,1,1,0,1,1,0,1,0,0,,Very representative (Also choose this if entire population is examined),There was an appropriate control condition,No,Global Warming,Much less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,b2422429-2553-408c-8585-3228931fcd95,http://pe.goodlylabs.org/project/SSSPECaus2/task/798,SSSPETest2,1729,1729SSSArticle.txt,bfa49fa8-150c-4b29-a715-a201ebb54b79,c72f378b-1f87-47b2-9a7f-7b6399353627,2018-03-21 17:25:07.458310,2018-03-21 17:36:29.595453,682.137143,,Very credible,Yes,1,1,0,1,0,0,1,0,0,,Very representative (Also choose this if entire population is examined),,,multiple geological factors,Equally likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,a94bec73-5c19-446f-9f3f-46bc8dc9021a,79db6e35-1169-41fa-9134-77452b2c50b1,2018-03-18 05:55:17.303736,2018-03-18 06:06:45.711416,688.40768,,Somewhat credible,Yes,1,1,0,1,1,1,1,0,0,,Slightly representative,"There was a control condition, but it was not appropriate at all",No,There may be other explanations such as predisposed conditions (these are astronauts so they are not representative of the overall population).,Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,88d78aaf-ff99-4a6a-a6a5-2bde4ec76976,687aa0a0-e9b7-4589-b3df-4741d77a17b9,2018-03-18 20:35:00.231849,2018-03-18 20:42:21.142121,440.910272,,Somewhat credible,Yes,0,1,0,1,0,1,1,0,0,,,,,Perhaps working in space makes the brain work out more with the problems they are solving up there.,Much less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,49beb8fc-eb1d-41e5-b129-00587dbbaa49,9cc793a5-b9a3-4cee-921d-7d9482803307,2018-03-18 21:35:56.928548,2018-03-18 21:39:55.395359,238.466811,,Fairly credible,Yes,1,1,0,1,0,1,1,0,0,,Fairly representative,,,"Perhaps a different mechanism causes this change, such as high acceleration from rocketing into space.",Much less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,b788cc53-73ca-47f3-ae46-49b198c20290,087d045c-7751-42c5-a0af-35dfca95ba6e,2018-03-19 04:23:51.011697,2018-03-19 04:35:08.622266,677.610569,,Fairly credible,Yes,1,0,1,1,0,1,1,0,0,,Very representative (Also choose this if entire population is examined),,,The eating habits of astronauts changed the grey matter in their brains.,Much less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,09b5e11e-9597-456e-be56-9b7b18517581,e648c303-5a76-4766-bfc7-580522fd5a51,2018-03-19 06:05:29.242725,2018-03-19 06:17:37.007159,727.764434,,Fairly credible,Yes,1,0,0,0,1,1,1,0,0,,Fairly representative,There was no control condition,No,The change in gravity while going to space affects the human brain,Equally likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,53153b18-5bcf-40e0-b5a5-2c98c143e440,http://pe.goodlylabs.org/project/SSSPECaus2/task/781,SSSPETest2-Demo1,1737,1737SSSArticle.txt,5cd6989b-95b3-478d-97ab-2575b4812453,b7a5de5b-b7a0-4e6b-86cb-b99e624fd891,2018-03-19 06:07:09.738688,2018-03-19 06:30:14.034060,1384.295372,,Not very credible,Yes,1,1,0,1,0,1,0,0,0,,Not at all representative,,,"Working with other people in such a small, cramped spaces such as the ISS can lower the amount of gray matter in the brain?",Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,839cb9f8-4914-4b1b-a305-557915963b54,cf3f019a-2492-4757-bcae-fe158e271690,2018-03-21 14:52:09.007831,2018-03-21 15:18:00.052110,1551.044279,,Fairly credible,Yes,1,1,0,0,1,0,0,0,0,,Somewhat representative,There was no control condition,Yes,"more conscious of health might lead them to exercise more, too",Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,f4100da1-0af4-4e92-99c4-3ac11b1a05a0,2f74360a-0057-47ab-b6f0-ab099c188b45,2018-03-21 17:14:51.311341,2018-03-21 17:17:42.467653,171.156312,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,e301a2b7-bba8-42b5-ad71-7e3549e7fb3d,d7255378-8c40-43ea-9edd-0f12e2a4ef32,2018-03-21 16:45:58.811699,2018-03-21 17:20:23.158723,2064.347024,,Somewhat credible,Yes,0,0,0,1,1,0,1,0,0,,Slightly representative,There was no control condition,Can't tell; not enough info,Perhaps the eleven percentage points is due to a difference in the two groups' diets.,Equally likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,88941a0a-24cf-4816-af79-f818a42acbaa,a5e048b7-525d-4691-acd0-81e79d4f8e90,2018-03-21 17:03:23.067868,2018-03-21 17:23:02.533893,1179.466025,,Not very credible,Yes,1,1,0,1,1,0,1,0,0,,Not at all representative,There was an appropriate control condition,Can't tell; not enough info,The group that didn't reach for the junk food just doesn't like those types of junk food as much.,Equally likely,Not very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,9a55998d-30ca-45cd-8ac0-cc590b218add,c72f378b-1f87-47b2-9a7f-7b6399353627,2018-03-21 17:15:26.742996,2018-03-21 17:30:53.213515,926.470519,,Somewhat credible,Yes,1,1,0,1,1,0,1,0,0,,Somewhat representative,There was an appropriate control condition,Can't tell; not enough info,students in one class were more preidisposed to pick healthy food,Somewhat less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,a3b90640-c160-49bd-bffb-01ac4634cd00,http://pe.goodlylabs.org/project/SSSPECaus2/task/797,SSSPETest3,1719,1719SSSArticle.txt,7ddfed0a-2c50-469e-b3ac-4db1a49128c2,758eaaac-af75-4288-9d7d-b15f75ff00fc,2018-03-21 17:14:46.690629,2018-03-21 17:37:10.292970,1343.602341,,Fairly credible,Yes,0,1,0,0,1,0,1,0,0,,Somewhat representative,"There was a control condition, but it was questionably appropriate",Yes,personal choice,Much less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,ac4f2bbb-e159-4f33-b8f3-9802175bea4d,http://pe.goodlylabs.org/project/SSSPECaus2/task/799,SSSPETest3,1718,1718SSSArticle.txt,00b53a98-ea61-4f62-a014-d6790c4c7991,65eabf31-c9dd-48c7-94a9-17ed30d10f96,2018-05-29 05:30:38.208030,2018-05-29 05:38:11.713017,453.504987,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,ac4f2bbb-e159-4f33-b8f3-9802175bea4d,http://pe.goodlylabs.org/project/SSSPECaus2/task/799,SSSPETest3,1718,1718SSSArticle.txt,25bb4da5-5d6a-4c74-ba58-a47424cdbbeb,a5e048b7-525d-4691-acd0-81e79d4f8e90,2018-03-21 17:23:02.821492,2018-03-21 17:36:50.179254,827.357762,,Somewhat credible,Yes,1,0,0,1,0,0,0,0,0,,Very representative (Also choose this if entire population is examined),,,The exchange could be equally high during the rest of the year but they haven't incorporated that data so we don't know.,Equally likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,ac4f2bbb-e159-4f33-b8f3-9802175bea4d,http://pe.goodlylabs.org/project/SSSPECaus2/task/799,SSSPETest3,1718,1718SSSArticle.txt,12d15da5-0820-4ec2-952c-f1b078543f46,758eaaac-af75-4288-9d7d-b15f75ff00fc,2018-03-21 17:32:04.335468,2018-03-21 17:39:49.121276,464.785808,,Fairly credible,Yes,0,1,1,0,0,0,0,0,0,,,,,eople find it easier to give money ,Equally likely,Not very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,ac4f2bbb-e159-4f33-b8f3-9802175bea4d,http://pe.goodlylabs.org/project/SSSPECaus2/task/799,SSSPETest3,1718,1718SSSArticle.txt,a1942e59-ee19-4cb4-bed1-5dec604cfe93,c18a28c5-79bc-46fd-92a4-5bea72239223,2018-03-21 17:37:12.732173,2018-03-21 17:51:16.285778,843.553605,,Fairly credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,ac4f2bbb-e159-4f33-b8f3-9802175bea4d,http://pe.goodlylabs.org/project/SSSPECaus2/task/799,SSSPETest3,1718,1718SSSArticle.txt,f525d12c-266a-4dd3-8d94-ff8b45d7ec1d,d17ee05b-ea1d-4026-8d7c-59cb893ed98d,2018-03-21 17:39:08.313069,2018-03-21 17:58:52.817758,1184.504689,,Fairly credible,Yes,1,0,0,1,0,0,1,0,0,,Somewhat representative,,,There are numerous claims being made. It's difficult to offer one alternative for all of them. ,Much less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,4c997161-1fef-46eb-a581-df08042890d3,http://pe.goodlylabs.org/project/SSSPECaus2/task/801,SSSPETest3,179,179SSSArticle9.txt,da659ba5-664c-421f-99ea-8ad236526fdf,a739e6b3-a63a-45f5-ad3c-d853d7b4f4dc,2018-08-06 15:55:12.956177,2018-08-06 16:06:26.918386,673.962209,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,4c997161-1fef-46eb-a581-df08042890d3,http://pe.goodlylabs.org/project/SSSPECaus2/task/801,SSSPETest3,179,179SSSArticle9.txt,120176af-72b5-469c-8d52-68ef54626195,c18a28c5-79bc-46fd-92a4-5bea72239223,2018-03-21 17:51:16.435961,2018-03-21 17:53:03.387868,106.951907,,Fairly credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,4c997161-1fef-46eb-a581-df08042890d3,http://pe.goodlylabs.org/project/SSSPECaus2/task/801,SSSPETest3,179,179SSSArticle9.txt,3fbc1117-bbf8-4e24-b35e-5f897b1f9a38,d17ee05b-ea1d-4026-8d7c-59cb893ed98d,2018-03-21 18:09:04.902305,2018-03-21 18:23:41.606235,876.70393,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,669d7afe-c7d4-4ec9-9e2c-2da915b38236,http://pe.goodlylabs.org/project/SSSPECaus2/task/779,SSSPETest1,175,175SSSArticle.txt,bf053f4f-042d-432c-aa4c-7ebeeee4758f,61f77a88-8f4a-407f-bdc6-7f06ef467f94,2018-03-15 23:26:28.501811,2018-03-15 23:48:32.259328,1323.757517,,Fairly credible,Yes,1,1,1,0,0,0,1,0,0,,Fairly representative,,,"A different water source besides the Flint River may actually be contaminated, and it is this water source that cased the outbreak. Therefore, the Flint River water is irrelevant and not a cause of the outbreak.",Much less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,669d7afe-c7d4-4ec9-9e2c-2da915b38236,http://pe.goodlylabs.org/project/SSSPECaus2/task/779,SSSPETest1,175,175SSSArticle.txt,bee7cc4b-6e11-4fa0-bc1e-f286a462bd99,a45b5661-d328-4415-93f4-ba0530f2be02,2018-03-16 05:00:58.332759,2018-03-16 05:03:35.301963,156.969204,,Not very credible,Yes,1,1,0,0,1,0,0,0,0,,Slightly representative,There was no control condition,No,"The bacterial disease could have came from anything. For example it could be from food. Adding on, it could only be a correlation. ",Equally likely,Not very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,669d7afe-c7d4-4ec9-9e2c-2da915b38236,http://pe.goodlylabs.org/project/SSSPECaus2/task/779,SSSPETest1,175,175SSSArticle.txt,b3bc1ea5-fcff-4da1-9837-1200096ad019,70ba20b9-269f-4c68-b0d2-079695adf3a1,2018-03-18 05:12:08.176851,2018-03-18 05:28:31.994713,983.817862,,Not credible at all,No,0,0,0,0,0,0,0,0,0,,,,,,,Not credible at all
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,669d7afe-c7d4-4ec9-9e2c-2da915b38236,http://pe.goodlylabs.org/project/SSSPECaus2/task/779,SSSPETest1,175,175SSSArticle.txt,7b0bab6b-d84a-4a5e-92ec-4599310a0d76,79db6e35-1169-41fa-9134-77452b2c50b1,2018-03-18 05:41:18.435833,2018-03-18 05:55:17.150639,838.714806,,Fairly credible,Yes,1,1,1,0,1,0,0,0,0,,Fairly representative,"There was a control condition, but it was questionably appropriate",Can't tell; not enough info,Hospital had a failure in its own internal water system,Somewhat less likely,Fairly credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,669d7afe-c7d4-4ec9-9e2c-2da915b38236,http://pe.goodlylabs.org/project/SSSPECaus2/task/779,SSSPETest1,175,175SSSArticle.txt,eadc49ae-588e-44e0-82dd-89b9fc52579b,687aa0a0-e9b7-4589-b3df-4741d77a17b9,2018-03-18 20:27:19.987411,2018-03-18 20:35:00.087197,460.099786,,Somewhat credible,Yes,0,1,1,0,0,0,1,1,0,Flint River contains Legionella.,,,,"The water wasn't untreated but contamination from Legionella could have come from a source outside of the river, affecting the river and the water system simultaneously.",Much less likely,Somewhat credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,3949d569-bb12-408e-aa4a-442ec2597635,http://pe.goodlylabs.org/project/SSSPECaus2/task/785,SSSPETest1,1717,1717SSSArticle17.txt,4ec3df0a-9c3a-4806-abe9-9909727f09c2,e648c303-5a76-4766-bfc7-580522fd5a51,2018-03-19 17:38:11.900740,2018-03-19 17:46:02.955316,471.054576,,Fairly credible,Yes,1,1,0,0,1,1,1,0,0,,Very representative (Also choose this if entire population is examined),There was an appropriate control condition,Can't tell; not enough info,chemicals in the snow in Quebec caused heart attacks,Somewhat less likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,3949d569-bb12-408e-aa4a-442ec2597635,http://pe.goodlylabs.org/project/SSSPECaus2/task/785,SSSPETest1,1717,1717SSSArticle17.txt,ff37c7b8-1813-4295-8510-88999d250c82,94d0987c-412f-4efd-81f7-f2adec0923d9,2018-03-19 21:56:44.910988,2018-03-19 22:07:35.311884,650.400896,,Very credible,Yes,1,1,0,1,1,1,1,0,0,,Fairly representative,"There was a control condition, but it was questionably appropriate",Yes,temperature and exercise rather than solely shovelling,Equally likely,Very credible
SSScience and Causality Questions V2,a38c312f947af09b825238811b5ae2a4e91f5caedd325562b6522e9b0409bd82,3949d569-bb12-408e-aa4a-442ec2597635,http://pe.goodlylabs.org/project/SSSPECaus2/task/785,SSSPETest1,1717,1717SSSArticle17.txt,2ed790fd-b49b-4c49-99dc-5a2227a124cc,2168c811-e0f4-435b-a865-0ec857809c71,2018-03-21 00:05:27.357618,2018-03-21 00:20:30.190469,902.832851,,Somewhat credible,No,0,0,0,0,0,0,0,0,0,,,,,,,Fairly credible
