,article_num,article_sha256,article_id,quiz_task_uuid,tua_uuid,schema_namespace,schema_sha256,question_Number,answer_uuid,question_type,agreed_Answer,coding_perc_agreement,one_two_diff,highlighted_indices,alpha_unitizing_score,alpha_unitizing_score_inclusive,agreement_score,num_users,num_answer_choices,target_text,question_text,answer_content,prereq_passed
1515,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
26,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0120f692-0e1d-4943-94ce-b9d3983d35d7,744c7cbe-cf44-4cbb-bbb0-901b0d4f35a3,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
552,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,M,0.4,0.6,M,M,M,0.2,5,13,M,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",M,True
19,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0120f692-0e1d-4943-94ce-b9d3983d35d7,744c7cbe-cf44-4cbb-bbb0-901b0d4f35a3,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1534,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,14,d61c2403-74b4-490b-a37a-c2df57a6c197,ordinal,3,0.8104275246670352,0.8104275246670352,[],,,0.8104275246670352,5,10,,"How difficult was this task for you, on the whole?",3,True
551,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
549,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
587,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,54c0bd02-0a38-4390-8825-867e46e85b56,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,14,2596868e-7118-4728-9f01-56610420baa6,ordinal,5,0.9033388540216232,0.9033388540216232,[],,,0.9033388540216232,5,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
550,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
35,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0120f692-0e1d-4943-94ce-b9d3983d35d7,744c7cbe-cf44-4cbb-bbb0-901b0d4f35a3,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,14,2596868e-7118-4728-9f01-56610420baa6,ordinal,5,0.8230208382850307,0.8230208382850307,[],,,0.8230208382850307,5,10,,"How difficult was this task for you, on the whole?",5: Middling difficulty,True
560,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
554,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
576,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,54c0bd02-0a38-4390-8825-867e46e85b56,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
575,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,54c0bd02-0a38-4390-8825-867e46e85b56,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1524,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1525,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1526,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1527,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
586,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,54c0bd02-0a38-4390-8825-867e46e85b56,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,12,3db66758-c91d-4d42-9df0-c5adcd8e1cf3,ordinal,1,0.5616424080898172,0.5616424080898172,[],,,0.5616424080898172,5,4,,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
304,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
305,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
306,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
303,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
302,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
34,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0120f692-0e1d-4943-94ce-b9d3983d35d7,744c7cbe-cf44-4cbb-bbb0-901b0d4f35a3,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,12,0f9edcfe-ecd6-47d8-835a-16222fbfb076,ordinal,2,0.8150120424781608,0.8150120424781608,"[4278, 4279, 4280, 4281, 4282, 4283, 4284, 4285, 4286, 4287, 4288, 4289, 4290, 4291, 4292, 4293, 4294, 4295, 4296, 4297, 4298, 4299, 4300, 4301, 4302, 4303, 4304, 4305, 4306, 4307, 4308, 4334, 4335, 4336, 4337, 4338, 4339, 4340, 4341, 4342, 4343, 4344, 4345, 4346, 4347, 4348, 4349, 4350, 4351, 4352, 4353, 4354, 4355, 4356, 4357, 4358, 4359, 4360, 4361, 4362, 4363, 4364]",0.3214022671961061,0.3214022671961061,0.5682071548371335,5,4,we will get to the bottom of it//I’m sure you will figure it out,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Good job!,True
301,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
564,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,53e6ea09-002a-4c64-857f-3e7a077f528b,c8b06e53-82b4-429f-882e-df7fad43369d,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,12,3db66758-c91d-4d42-9df0-c5adcd8e1cf3,ordinal,1,0.8150120424781608,0.8150120424781608,"[5022, 5023, 5024, 5025, 5026, 5027, 5028]",1.0,1.0,0.9075060212390804,5,4,bragged,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
299,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
298,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
574,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,54c0bd02-0a38-4390-8825-867e46e85b56,e8cd3a4b-7d82-41f0-8eaa-8d701f524c58,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
297,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.2,0.8,L,L,L,0.1,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
296,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
1532,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,db54e1c8-65e5-4155-bfb8-09c8121b4850,4e569d5c-3bb7-4e68-8a0d-d6127bf0fcfb,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,12,3db66758-c91d-4d42-9df0-c5adcd8e1cf3,ordinal,1,0.8150120424781608,0.8150120424781608,"[7479, 7480, 7481, 7482, 7483, 7484, 7485, 7549, 7550, 7551, 7552, 7553, 7554, 7555, 7556, 7557, 7558, 7559, 7560, 7561, 7562, 7563, 7564, 7643, 7644, 7645, 7646, 7647, 7648, 7649, 7650, 7651, 7652]",,,,5,4,pivotal//checkered career//trumped up,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",Nope,True
25,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,0120f692-0e1d-4943-94ce-b9d3983d35d7,744c7cbe-cf44-4cbb-bbb0-901b0d4f35a3,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
295,100028,f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,raw_50f7eb2314bb13aae4542caf7ee10c336890c3e911c50093d575b1849e107abfb7,25826f59-1fe3-440f-868d-ce59cc15b977,8390627c-c51b-46ad-a89e-05f4d03a0fee,Language Specialist V4,c61fde1e9a2fcf6f097f0d93b27f7f53fd89c4e5771654f4bdd2711376b3dad6,1,0,checklist,L,0.0,1.0,L,L,L,0.0,5,13,L,"Which of the following appears in the bolded text to the left? Check all that apply, or none, and highlight the part of the passage in which you see each.",L,True
