schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q5,T1.Q6.A1,T1.Q6.A2,T1.Q6.A3,T1.Q6.A4,T1.Q6.A5,T1.Q6.A6,T1.Q6.A7,T1.Q6.A8,T1.Q7,T1.Q9,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q13,T1.Q15
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,395a028d-26ae-4ec4-b526-dd9ac0bf42f9,e0834165-64cc-41e5-994f-9be97a16ef93,2018-08-31 00:44:00.862373,2018-08-31 00:52:36.562071,515.699698,"T1.Q1, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q15",0,0,0,1,1,1,0,0,0,1,0,0,0,,,Moderate,0,0,1,1,0,0,0,0,,Somewhat inappropriate,No,,1,0,0,0,Somewhat,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ca6b7644-8192-41a0-b121-29f187f2a50d,06e1eba7-c695-4495-85a7-2fb33ef9412c,2018-09-02 14:56:25.065640,2018-09-02 15:00:54.379931,269.314291,"T1.Q1, T1.Q3, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q11, T1.Q12, T1.Q15",0,1,1,1,1,1,0,1,1,0,0,0,0,,Enormous misrepresentation,Very strong,1,1,0,1,0,0,0,0,,Very inappropriate,"Yes, somewhat",Somewhat,1,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,98f31274-7a49-472f-8b2d-29212b3d476a,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2018-09-03 19:15:34.825586,2018-09-03 19:24:54.896172,560.070586,"T1.Q1, T1.Q9, T1.Q10, T1.Q12, T1.Q15",0,0,0,0,1,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,Mildly inappropriate,No,,1,0,0,0,,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5f5ca444-be02-4894-a33d-9298b16a56fb,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-03 19:39:30.600744,2018-09-03 19:39:30.638655,0.037911,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,5: 50-50
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,a6abe0a5-4041-4ded-86ef-6475d4dc23fc,45211579-fb0b-48bf-bec4-d9dee0108ac0,2018-09-04 17:28:56.176526,2018-09-04 17:29:39.496252,43.319726,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,0,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1: I was guessing randomly for everything
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,d3a2197a-99c3-4a73-a2fa-6aea0a888a02,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-22 01:01:42.671212,2018-09-22 01:01:42.717429,0.046217,"T1.Q1, T1.Q3, T1.Q5, T1.Q6, T1.Q9, T1.Q10, T1.Q12, T1.Q13, T1.Q15",0,1,0,1,1,1,0,0,0,1,0,0,0,,Minor misrepresentation,Moderate,0,0,1,1,0,0,0,0,,Mildly inappropriate,Maybe,,1,0,0,0,Mildly,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,https://pe.goodlylabs.org/project/DemoLang/task/1247,17,17,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,299352f7-5446-47de-8bad-0240a51b1458,47f10cb0-4a56-4b77-ba40-5414b1332642,2019-02-17 03:50:59.133663,2019-02-17 03:52:27.339672,88.206009,"T1.Q1, T1.Q2, T1.Q3, T1.Q12, T1.Q13, T1.Q15",1,1,0,0,1,0,0,0,0,1,0,0,0,CONSIDERABLY excessive/inappropriate,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,0,1,0,0,Very Mildly,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6ed5a990-8ef8-4bdb-9c05-9a9119092270,e1ae8875-a398-4dde-8f4e-4b21109784e3,2018-08-29 18:30:29.092323,2018-08-29 18:33:35.087025,185.994702,"T1.Q1, T1.Q12, T1.Q13, T1.Q15",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,Very Mildly,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,ee7571ce-a322-4efe-a498-0b0345ba9cd7,2abbe1a3-c9a7-41ab-9738-64ca86756d37,2018-08-26 22:58:53.380099,2018-08-26 23:06:46.355572,472.975473,"T1.Q1, T1.Q2, T1.Q12, T1.Q15",1,0,0,0,1,0,0,0,0,0,0,0,0,NOT AT ALL excessive/inappropriate,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10: 100% certain about all my answers
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,f5634584-e3e4-4b5e-9ea7-9e243109b387,e4a2f20b-0ee3-4d4c-a622-e392d1150ec8,2018-08-27 05:03:41.442902,2018-08-27 05:08:16.731095,275.288193,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,10: 100% certain about all my answers
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,c169ba33-cc74-436c-b08a-15b1791ced25,789ee4ea-ea9b-4fa4-b25c-8fd978f82877,2018-08-27 19:27:07.410148,2018-08-27 19:32:05.332839,297.922691,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0,1,0,0,,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b7defb25-049b-41cf-aad9-8b266ed05387,4d73af15-21ec-432e-9ca0-cb19c21a62a3,2018-08-28 20:02:25.900286,2018-08-28 20:19:05.347807,999.447521,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,1,0,0,,6
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,654e4e0f-9129-4258-8ae8-2aa33019d273,6ac98bad-9204-48e3-8c52-e0911a795664,2018-08-28 20:36:05.804727,2018-08-28 20:57:52.664151,1306.859424,"T1.Q1, T1.Q5, T1.Q6, T1.Q7, T1.Q12, T1.Q15",0,0,0,1,0,0,0,0,0,0,0,0,0,,,Moderate,0,0,0,0,0,0,0,1,Surprise,,,,0,1,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,834b7e3e-e39d-477d-b732-2bbef9acacac,566f0fa0-7d81-4f43-9c3f-dca97642bd5f,2018-08-28 20:57:50.569033,2018-08-28 21:13:13.758340,923.189307,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,0,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,0,1,0,0,,2
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,3f3cc2fa-a5db-4e1e-9ad2-1548a374d555,8f5ca426-1f9e-4999-b229-0f567b6a5a84,2018-08-28 23:08:40.339382,2018-08-28 23:14:09.383545,329.044163,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6ab35d6e-4145-4c13-9fa0-cbb5cfd2e93b,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-08-31 13:01:20.878229,2018-08-31 13:07:01.962417,341.084188,"T1.Q1, T1.Q12, T1.Q13, T1.Q15",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,Not at all,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e0968d55-a3e7-410a-b5a7-54bcef14ed4a,06e1eba7-c695-4495-85a7-2fb33ef9412c,2018-09-02 14:56:25.277907,2018-09-02 15:02:39.275183,373.997276,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,0,1,0,0,,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,fa19112b-52d5-4053-81e1-30b3fe02ace4,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2018-09-03 19:15:34.944085,2018-09-03 19:27:56.058014,741.113929,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,6f08a628-4f45-4349-b755-e48b3e932529,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 16:56:21.093792,2018-09-04 17:27:44.125812,1883.03202,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,0,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9c3edaa3-9a71-4c1f-ac4b-350653a26b8c,47f10cb0-4a56-4b77-ba40-5414b1332642,2019-02-17 03:50:59.224333,2019-02-17 04:02:31.224963,692.00063,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,cc0fada0-e51a-455d-bf78-e802fae0ef96,80f1eda5-ad01-4955-9f64-2dc67579ee89,2019-02-18 04:50:32.449818,2019-02-18 04:52:15.092998,102.64318,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,1,0,0,0,0,0,1,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,9
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,3018053c-53a0-4420-94d7-be9b5d59a3f2,b359f9af-81af-4246-96d3-ee2c770022bb,2019-03-01 21:11:55.158865,2019-03-01 21:18:16.474319,381.315454,"T1.Q1, T1.Q12, T1.Q15",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,320d4bc2-2756-4690-95e5-4c6b5190e1e5,a2f9116f-94e4-448c-b513-8a7ab93d3d2f,2019-03-01 21:11:15.753825,2019-03-01 21:19:27.604502,491.850677,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,0,0,0,0,0,0,1,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8
LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,755877c4-7dc1-401e-894a-04b9d70e70e7,https://pe.goodlylabs.org/project/DemoLang/task/1248,17,17,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,e296c5d1-20bf-4076-9592-b886343b8ef7,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-03-02 19:22:49.357155,2019-03-02 19:23:45.925878,56.568723,"T1.Q1, T1.Q3, T1.Q12, T1.Q15",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8
