,schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options
13,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f4622e7e-1639-44d4-97c5-9de0a2b7600a,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,NONE,,{},5,79d9871c-a183-4e10-8ba1-71ad102a2d0c,T1.Q2.A1,EXTREMELY excessive/inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
14,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f4622e7e-1639-44d4-97c5-9de0a2b7600a,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,NONE,,{},5,65f0f1d3-7263-4e59-b98f-b6f850c92388,T1.Q2.A2,CONSIDERABLY excessive/inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
15,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f4622e7e-1639-44d4-97c5-9de0a2b7600a,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,NONE,,{},5,11658a1a-05dc-4ef6-9c29-b33039c9b583,T1.Q2.A3,SOMEWHAT excessive/inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
16,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f4622e7e-1639-44d4-97c5-9de0a2b7600a,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,NONE,,{},5,705f5a5a-7a7c-4d62-9ad1-a5cfff087878,T1.Q2.A4,MILDLY excessive/inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
17,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f4622e7e-1639-44d4-97c5-9de0a2b7600a,T1.Q2,"The use of metaphorical language (e.g., metaphors of war, disease, infection, invasion, alien, decay, etc) is....",RADIO,NONE,,{},5,a2b85425-ef7e-44f3-a3d2-9d806f75fc44,T1.Q2.A5,NOT AT ALL excessive/inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
18,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,64567e75-87f8-43d7-8684-f69cd3da8cb1,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,NONE,,{},5,ce1d4d32-de5c-48a7-832d-34579be9db40,T1.Q3.A1,Enormous misrepresentation,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
19,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,64567e75-87f8-43d7-8684-f69cd3da8cb1,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,NONE,,{},5,41b2f93f-bb7f-412a-8be5-2f6023b1b1c3,T1.Q3.A2,Considerable misrepresentation,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
20,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,64567e75-87f8-43d7-8684-f69cd3da8cb1,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,NONE,,{},5,c65627bc-eec5-477a-a282-d9176b52f67f,T1.Q3.A3,Some misrepresentation,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
21,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,64567e75-87f8-43d7-8684-f69cd3da8cb1,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,NONE,,{},5,9dbce31f-712c-4bd0-9185-de2fea69978b,T1.Q3.A4,Minor misrepresentation,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
22,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,64567e75-87f8-43d7-8684-f69cd3da8cb1,T1.Q3,How much does the exaggeration misrepresent reality?,RADIO,NONE,,{},5,88103766-7852-4922-8217-e536dc974a76,T1.Q3.A5,The exaggeration could not possibly mislead anyone,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
23,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,56aab957-772c-4525-8cae-69af726317f0,T1.Q5,How strong is the emotional tone?,RADIO,NONE,,{},5,b4edcb2f-3c89-46db-85ad-e935d6cc953f,T1.Q5.A1,Very strong,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
24,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,56aab957-772c-4525-8cae-69af726317f0,T1.Q5,How strong is the emotional tone?,RADIO,NONE,,{},5,7c7c3697-aac1-4191-b76c-1fb78c211a8f,T1.Q5.A2,Somewhat strong,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
25,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,56aab957-772c-4525-8cae-69af726317f0,T1.Q5,How strong is the emotional tone?,RADIO,NONE,,{},5,015e1c21-c83a-47f8-bee0-f9d41b1abd91,T1.Q5.A3,Moderate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
26,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,56aab957-772c-4525-8cae-69af726317f0,T1.Q5,How strong is the emotional tone?,RADIO,NONE,,{},5,ca14fc0c-00ff-4904-b637-64d7fffa503c,T1.Q5.A4,Mild,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
27,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,56aab957-772c-4525-8cae-69af726317f0,T1.Q5,How strong is the emotional tone?,RADIO,NONE,,{},5,9e2848d8-e472-499a-8b06-6119c58d90dc,T1.Q5.A5,Very mild,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
28,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,2252bc50-8044-4188-92f1-affe0f43da3e,T1.Q6.A1,Disgust,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
29,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,e09e96e4-ff80-4208-a993-1d7c70ed1ba4,T1.Q6.A2,Contempt,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
30,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,6d720695-cd69-4539-bc54-5b35635a69b4,T1.Q6.A3,"Outrage, indignation",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
31,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,d1d2b449-ba1e-41f3-ac32-082ddbc291a5,T1.Q6.A4,"Fear, threat",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
32,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,cf0f5a57-9fe6-4060-8d54-6aeddb411be5,T1.Q6.A5,"Vindictiveness, spite",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
33,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,06a91775-6b1f-4298-ab69-0fdc5deb168c,T1.Q6.A6,Sadness,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
34,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,5c3cf263-d2c9-4217-8956-914f9538908c,T1.Q6.A7,"Enthusiasm, joy",,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
35,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,d3bbf984-f41c-42ae-8150-4de928182e2d,T1.Q6,Which of the following emotions does the passage express? Check all that apply.,CHECKBOX,NONE,,{},8,29ca1059-f737-486e-bac5-3117b09e6a43,T1.Q6.A8,Other,T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
36,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,f9b36cbc-7c60-48ce-a8b7-501d5a90ff6a,T1.Q7,What other emotion does the passage express?,TEXT,NONE,,{},1,52d00d06-44a0-41eb-aeb2-76f5a71c1635,T1.Q7.A1,placeholder answer for TEXT,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
37,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,ec809806-4780-4151-826d-fdc2af3d3021,T1.Q9,How appropriate is the slang?,RADIO,NONE,,{},5,6d9d7b4f-f82f-47dd-a059-5d97dd452065,T1.Q9.A1,Very inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
38,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,ec809806-4780-4151-826d-fdc2af3d3021,T1.Q9,How appropriate is the slang?,RADIO,NONE,,{},5,40beb8c8-3241-43fb-b1f1-e60ef13cf00f,T1.Q9.A2,Somewhat inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
39,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,ec809806-4780-4151-826d-fdc2af3d3021,T1.Q9,How appropriate is the slang?,RADIO,NONE,,{},5,16b12e5a-2148-43a2-bc66-52c1d7781937,T1.Q9.A3,Moderately inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
40,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,ec809806-4780-4151-826d-fdc2af3d3021,T1.Q9,How appropriate is the slang?,RADIO,NONE,,{},5,1904f957-e4f1-46be-ba38-97ffbba5dfdc,T1.Q9.A4,Mildly inappropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
41,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,ec809806-4780-4151-826d-fdc2af3d3021,T1.Q9,How appropriate is the slang?,RADIO,NONE,,{},5,9e04fecf-f6a6-4d4d-b1b2-bc20ff4788ee,T1.Q9.A5,Completely appropriate,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
42,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,160c6d28-6f57-4923-9618-ed22742c5488,T1.Q10,Is the slang used to denigrate a group or perspective?,RADIO,NONE,,{},4,89a38be1-3e21-41f4-ae11-59effdc6133a,T1.Q10.A1,"Yes, definitely",,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
43,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,160c6d28-6f57-4923-9618-ed22742c5488,T1.Q10,Is the slang used to denigrate a group or perspective?,RADIO,NONE,,{},4,fe982a42-d4c6-4fbc-8b70-8a14bc132d7f,T1.Q10.A2,"Yes, somewhat",,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
44,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,160c6d28-6f57-4923-9618-ed22742c5488,T1.Q10,Is the slang used to denigrate a group or perspective?,RADIO,NONE,,{},4,7269f591-e27a-426e-8bbe-9466331bad73,T1.Q10.A3,Maybe,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
45,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,160c6d28-6f57-4923-9618-ed22742c5488,T1.Q10,Is the slang used to denigrate a group or perspective?,RADIO,NONE,,{},4,47cc572d-d07f-45ee-95d1-a9867d261de3,T1.Q10.A4,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
46,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,577bfb33-2492-496b-8c9d-91c75700fd37,T1.Q11,Do the errors in the writing make understanding the text more difficult?,RADIO,NONE,,{},5,f9ebba6a-12fa-4058-8211-8b5cc739306b,T1.Q11.A1,Extremely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
47,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,577bfb33-2492-496b-8c9d-91c75700fd37,T1.Q11,Do the errors in the writing make understanding the text more difficult?,RADIO,NONE,,{},5,996d148e-77a0-44c0-8d47-983be8cd4760,T1.Q11.A2,Considerably,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
48,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,577bfb33-2492-496b-8c9d-91c75700fd37,T1.Q11,Do the errors in the writing make understanding the text more difficult?,RADIO,NONE,,{},5,81912f2f-b9fb-4868-a883-7b3669ad984b,T1.Q11.A3,Somewhat,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
49,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,577bfb33-2492-496b-8c9d-91c75700fd37,T1.Q11,Do the errors in the writing make understanding the text more difficult?,RADIO,NONE,,{},5,60ae774d-e298-4601-aa26-2c9c86b9a9b8,T1.Q11.A4,Mildly,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
50,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,577bfb33-2492-496b-8c9d-91c75700fd37,T1.Q11,Do the errors in the writing make understanding the text more difficult?,RADIO,NONE,,{},5,c6ccc48a-c1bd-4455-8e02-749fd652876d,T1.Q11.A5,Not at all,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
51,LanguageSpecialist_2018_08_24,ac4621272fae57b70487dae75abece3740d59f32c812e39883464d216fc3d5cd,141e35a9-d045-4dd0-a562-2b7b856b65dd,Language Specialist V3,4d4a37cd-7753-46d1-ac86-b65da485d5a9,T1.Q12,"Does the passage contain a particularly neutral, circumspect, or measured account of a frequently heated issue? If so, please offer them kudos.",CHECKBOX,NONE,,{},4,6cf6e5c3-63be-4c97-b980-3b9d786c86bc,T1.Q12.A1,Nope,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}"
