schema_namespace,schema_sha256,topic_uuid,topic_name,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,nohighlight,optionalhighlight,answer_options,
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,fef0e7f3-c809-436f-9b8f-3a5e3e75854b,T1.Q2.A8,Other evidence,T1.Q3,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,03472310-df5b-4cbc-9887-01a6a1c3a6d2,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,NONE,"T1.Q8, T1.Q9",{},9,a79721fa-f9e2-49a9-8af9-bc27205ca0da,T1.Q2.A9,No evidence given,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,c08c4b22-69e1-43df-97fe-df69515be61a,T1.Q3,What other evidence is given?,TEXT,NONE,,{},1,581f32ea-3232-4aba-9e5c-083e48bf149e,T1.Q3.A1,placeholder answer for TEXT,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,39d56188-5c1e-449b-9498-9d7b6458de8e,T1.Q4,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,RADIO,NONE,,{},5,760559f2-df3b-4ac2-b800-1f38bc386980,T1.Q4.A1,Fully,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,39d56188-5c1e-449b-9498-9d7b6458de8e,T1.Q4,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,RADIO,NONE,,{},5,65f284e1-d2b7-47ae-b338-1ca14bb1c992,T1.Q4.A2,Mostly adequately,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,39d56188-5c1e-449b-9498-9d7b6458de8e,T1.Q4,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,RADIO,NONE,,{},5,43127fdf-b5c1-4ae7-9cf9-0517a27e175d,T1.Q4.A3,Somewhat inadequately,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,39d56188-5c1e-449b-9498-9d7b6458de8e,T1.Q4,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,RADIO,NONE,,{},5,f9c5d489-8207-4e22-a7df-185da028a25d,T1.Q4.A4,Very inadequately,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,39d56188-5c1e-449b-9498-9d7b6458de8e,T1.Q4,Does the author appropriately calibrate confidence in the causal claim given the strengths and weaknesses of the evidence?,RADIO,NONE,,{},5,cced7cc7-fb94-463a-97f5-a661e8a1a34b,T1.Q4.A5,Not at all,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,7ebcda93-e34c-480c-b7c2-d9d34325f0fc,T1.Q5.A1,Very representative (Also choose this if entire population is examined),,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,bbbfa6f7-9997-485e-8ac8-b9ca73d3f83a,T1.Q5.A2,Fairly representative,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,7b542f8b-f021-48d2-8def-8097a26f85b7,T1.Q5.A3,Somewhat representative,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,2c723a4f-37e3-4615-90b4-7f33905a12ff,T1.Q5.A4,Slightly representative,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,bfefb594-2434-4575-b226-8d91162e3b7e,T1.Q5.A5,Not at all representative,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,3c4dc5ac-06d6-4bce-9686-ab710003cd72,T1.Q5,How representative is the sample of the population that the claim is made about?,RADIO,NONE,,{},6,147ecbd0-9964-4e22-9fb9-e7535c55de6a,T1.Q5.A6,Can't tell,,,0,1,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": true}"
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,0e10848d-700d-49bf-a50f-c68f8f9175e0,T1.Q6.A1,Before/After comparison,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,10bc4ce3-9b45-4eeb-b201-d59a46cf2e3b,T1.Q6.A2,Appropriate control,T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,a4e7ff07-abae-4dcf-9d28-948500c68c31,T1.Q6.A3,Questionably appropriate control,T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,6e392907-cacd-4dc2-b285-0746996ebc13,T1.Q6.A4,Inappropriate control,T1.Q7,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,9c3558b2-8d30-4bed-baac-c304c218e68a,T1.Q6.A5,No control,,0,1,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": true}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,9da5d552-e562-4002-a64d-dd7086684ecf,T1.Q6,"Was there an adequate control? If so, highlight section.",RADIO,NONE,,{},6,76f1a9d4-6e34-449f-b219-e4f1a0c234f2,T1.Q6.A6,Can't tell,,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,fcd33516-24ca-4443-8e93-267516912f11,T1.Q7,Was randomized assignment used?,RADIO,NONE,,{},3,71f11809-7f4f-4874-9356-168fe550eeda,T1.Q7.A1,Yes,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,fcd33516-24ca-4443-8e93-267516912f11,T1.Q7,Was randomized assignment used?,RADIO,NONE,,{},3,88157e61-00ca-47de-8fd3-980930f2725d,T1.Q7.A2,No,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,fcd33516-24ca-4443-8e93-267516912f11,T1.Q7,Was randomized assignment used?,RADIO,NONE,,{},3,d249d194-9007-4d53-a343-333eb73e4522,T1.Q7.A3,Can't tell,,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}"
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,1f903bc5-fa87-45d1-93d5-22abe177d77b,T1.Q8,What is the best alternative explanation you can think of that could lead to the same set of evidence?,TEXT,NONE,,{},1,cb3ed9cc-5204-48e7-b2bc-1f1dd6b52bc1,T1.Q8.A1,placeholder answer for TEXT,,0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,a58a1267-9cf2-421f-b575-8c9cc30e62eb,T1.Q9.A1,Much more likely than author’s,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,f73cf552-c844-4a93-9095-3079741635b7,T1.Q9.A2,Somewhat more likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,02ecf9e0-a777-4c64-bcc1-429d29c933fc,T1.Q9.A3,Equally likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,d760de4a-6147-4c42-9558-bfc8149ba579,T1.Q9.A4,A little less likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,a862b278-2891-44b2-85b8-0037db644753,T1.Q9.A5,Somewhat less likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,ce476f9d-0b4e-4e16-8d2c-3f7a8cd2cbec,T1.Q9.A6,Much less likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,bb1f0cb2-08da-448b-974b-0c7b1c627c75,T1.Q9,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",RADIO,NONE,,{},7,0e2d302a-1db9-40e4-b06c-d03d9ae485a7,T1.Q9.A7,NA,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,25071773-e212-450b-b8da-d9e087ba9a27,T1.Q10,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,RADIO,NONE,,{},3,614da6c7-0a58-428b-9b66-a08f108c1b35,T1.Q10.A1,Yes,"T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,25071773-e212-450b-b8da-d9e087ba9a27,T1.Q10,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,RADIO,NONE,,{},3,7dd0dc67-02af-483e-a22b-9f7673c28482,T1.Q10.A2,Maybe,"T1.Q11, T1.Q12",0,0,"{""NOHIGHLIGHT"": false, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,25071773-e212-450b-b8da-d9e087ba9a27,T1.Q10,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,RADIO,NONE,,{},3,bcd95baa-c9c7-4c63-845c-0c6be9b35e3f,T1.Q10.A3,No,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,838c07d5-96e1-4058-8da2-d4ad6cac0783,T1.Q11,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",RADIO,NONE,,{},5,77335b2d-aa5c-47be-a01f-2e413aae9a93,T1.Q11.A1,Extremely Likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,838c07d5-96e1-4058-8da2-d4ad6cac0783,T1.Q11,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",RADIO,NONE,,{},5,b559b9c1-aa24-44d4-8a14-7561a80ac03d,T1.Q11.A2,Somewhat Likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,838c07d5-96e1-4058-8da2-d4ad6cac0783,T1.Q11,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",RADIO,NONE,,{},5,e02731cb-c4d8-4639-89a2-8d322bcb58b3,T1.Q11.A3,Not sure,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,838c07d5-96e1-4058-8da2-d4ad6cac0783,T1.Q11,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",RADIO,NONE,,{},5,92206a19-9afc-45d9-8716-2db4b1fbb9e0,T1.Q11.A4,Somewhat Unlikely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,838c07d5-96e1-4058-8da2-d4ad6cac0783,T1.Q11,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",RADIO,NONE,,{},5,45808be6-037f-4bea-b54c-8ae9315610f2,T1.Q11.A5,Very Unlikely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
Pilot_Evidence_2018_10_09,b39b35edcb2a296305e768370b52e3c21b39e2ed31a5f9bd0c24b4f96dc2e8dd,df81330c-adaa-4a0c-8f46-556849226fca,Evidence Specialist 3,2853e4c6-9abb-40fd-93dc-02313e95857c,T1.Q12,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could NOT be canceled out by collecting more data)?",RADIO,NONE,,{},5,729fe4ce-2bbc-43cc-b43c-478fe88361b7,T1.Q12.A1,Extremely Likely,,1,0,"{""NOHIGHLIGHT"": true, ""OPTIONALHIGHLIGHT"": false}",
