schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1,T1.Q2,T1.Q4,T1.Q5,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11,T1.Q12.A1,T1.Q12.A2,T1.Q12.A3,T1.Q12.A4,T1.Q13,T1.Q14
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,ab6f246a-8c21-4bb3-9c4b-a67165984442,http://pe.goodlylabs.org/project/Demo1Prob/task/1264,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,3421d264-aed4-45f8-8dd0-6ce39038c7e2,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-29 19:17:38.581549,2018-08-29 19:28:15.651423,637.069874,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Mostly justified,No,"Yes, explicitly",No numbers,No,,,No,"Yes, explicitly",0,0,1,0,3,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,2e08fd28-52e2-48d3-803d-d1c60bd67611,http://pe.goodlylabs.org/project/Demo1Prob/task/1265,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,9499055b-d38d-4091-962f-5f4327d364d3,daa7dee2-9725-46f6-94a9-9f97905c4795,2018-08-27 19:51:26.602635,2018-08-27 19:57:11.383212,344.780577,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Mostly justified,No,"Yes, explicitly","Number given, no comparison number given",No,,,Explicitly,I can't tell,0,0,0,0,5: Middling difficulty,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,2e08fd28-52e2-48d3-803d-d1c60bd67611,http://pe.goodlylabs.org/project/Demo1Prob/task/1265,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ea290c51-ba1c-4887-8a76-0029c7e96ab2,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 23:34:40.247305,2018-08-28 23:41:25.942727,405.695422,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Somewhat justified,No,No,"Number given, no comparison number given","Yes, explicitly",Extremely Likely,Somewhat Likely,Explicitly,I can't tell,0,0,0,0,7,5: 50-50
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,2e08fd28-52e2-48d3-803d-d1c60bd67611,http://pe.goodlylabs.org/project/Demo1Prob/task/1265,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c03e8589-7dea-4f6a-a25f-aa1df5273cea,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-28 23:42:51.609642,2018-08-28 23:51:24.561497,512.951855,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Slightly justified,No,"Yes, explicitly",No numbers,"Yes, explicitly",Extremely Likely,Somewhat Likely,No,I can't tell,0,0,0,0,6,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,2e08fd28-52e2-48d3-803d-d1c60bd67611,http://pe.goodlylabs.org/project/Demo1Prob/task/1265,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,e7f26f55-44b3-40a8-b810-c95ae2a0d7f0,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:47:46.079431,2018-08-29 07:50:27.301613,161.222182,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Mostly justified,"Yes, implicitly","Yes, implicitly","Number given, no comparison number given","Yes, explicitly",Neither Likely Nor Unlikely,Neither Likely Nor Unlikely,No,"No, not at all",0,0,0,0,4,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,2e08fd28-52e2-48d3-803d-d1c60bd67611,http://pe.goodlylabs.org/project/Demo1Prob/task/1265,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,1c643c7b-80c9-4d25-bf93-7015ce729719,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-29 19:19:18.550054,2018-08-29 19:43:10.409495,1431.859441,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q13, T1.Q14",No,Somewhat justified,No,"Yes, implicitly",Baseline number given,"Yes, explicitly",Somewhat Unlikely,Neither Likely Nor Unlikely,No,"No, not at all",0,0,0,0,3,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,01704bec-d385-4105-a236-4530cf502975,http://pe.goodlylabs.org/project/Demo1Prob/task/1266,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5235d95d-cfeb-4f5a-a1c1-5a4610e597bb,daa7dee2-9725-46f6-94a9-9f97905c4795,2018-08-27 19:54:34.169589,2018-08-27 19:59:00.060681,265.891092,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Mostly justified,No,No,No numbers,No,,,Implicitly,"No, not at all",0,0,0,0,5: Middling difficulty,8
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,01704bec-d385-4105-a236-4530cf502975,http://pe.goodlylabs.org/project/Demo1Prob/task/1266,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,9734418c-abd9-449f-a2fa-bbb0b43f1a89,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 23:38:16.863879,2018-08-28 23:48:52.784026,635.920147,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Somewhat justified,No,No,No numbers,No,,,No,I can't tell,0,0,0,0,5: Middling difficulty,6
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,01704bec-d385-4105-a236-4530cf502975,http://pe.goodlylabs.org/project/Demo1Prob/task/1266,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,5b9dd9bb-fb9a-4589-b6d7-3c698f9b83c9,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-28 23:46:51.805459,2018-08-28 23:56:23.443636,571.638177,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Yes,Not at all justified,No,No,No numbers,No,,,No,I can't tell,0,0,0,0,6,4
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,01704bec-d385-4105-a236-4530cf502975,http://pe.goodlylabs.org/project/Demo1Prob/task/1266,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,359b06ef-698d-4018-a42d-3406c45f1111,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:48:49.863337,2018-08-29 07:51:11.293016,141.429679,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q13, T1.Q14",Maybe,Mostly justified,No,No,No numbers,No,,,No,"No, not at all",0,0,0,0,2,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,54919edd-083b-4f17-8100-d78580294bea,http://pe.goodlylabs.org/project/Demo1Prob/task/1267,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,27158231-a0ef-46ea-9340-4759ef95bbd4,f7a7b494-ea99-4873-b3c3-b62f92eb6ce3,2018-08-28 23:41:26.471155,2018-08-28 23:50:20.792462,534.321307,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Completely justified,"Yes, explicitly","Yes, explicitly",No numbers,No,,,No,"Yes, explicitly",1,1,1,1,2,9
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,54919edd-083b-4f17-8100-d78580294bea,http://pe.goodlylabs.org/project/Demo1Prob/task/1267,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,8dc33712-7b7b-49fd-8afc-7032bb29ae71,298dd529-895c-42ee-97a0-9dc131edfd57,2018-08-29 00:08:41.467866,2018-08-29 00:17:28.962786,527.49492,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Somewhat justified,No,No,No numbers,No,,,No,"Yes, explicitly",1,1,1,1,6,7
ProbabilitySpecialist_2018_08_24,99c02e7db603617f17b87ff2df17cbb2a121cbfcb27e71d6421fe1712cfb43b7,54919edd-083b-4f17-8100-d78580294bea,http://pe.goodlylabs.org/project/Demo1Prob/task/1267,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,c7d4effb-4ea6-4054-9c15-1e57bf8fb78b,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-29 07:50:27.683346,2018-08-29 07:52:26.790408,119.107062,"T1.Q1, T1.Q2, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q10, T1.Q11, T1.Q12, T1.Q13, T1.Q14",No,Mostly justified,"Yes, explicitly","Yes, explicitly",No numbers,No,,,No,"Yes, implicitly",0,1,0,1,3,7
