schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q2,T1.Q3,T1.Q4.A1,T1.Q4.A2,T1.Q4.A3,T1.Q4.A4,T1.Q4.A5,T1.Q4.A6,T1.Q4.A7,T1.Q4.A8,T1.Q4.A9,T1.Q5.A1,T1.Q5.A2,T1.Q5.A3,T1.Q5.A4,T1.Q5.A5,T1.Q5.A6,T1.Q5.A7,T1.Q5.A8,T1.Q5.A9,T1.Q6.A1,T1.Q6.A2,T1.Q7.A1,T1.Q7.A2,T1.Q7.A3,T1.Q7.A4,T1.Q7.A5,T1.Q7.A6,T1.Q8,T1.Q9,T1.Q10
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b4d3861f-5db7-4def-b3d8-14ab384985b5,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2774,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,880f24b3-0cd9-4114-b1a0-c35170de4a60,e1ae8875-a398-4dde-8f4e-4b21109784e3,2020-03-23 21:23:10.950114,2020-03-23 21:25:32.157661,141.207547,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,Central idea/s of article.,2,9
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b4d3861f-5db7-4def-b3d8-14ab384985b5,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2774,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,636836c1-ff0f-4e03-86e2-844566404ccf,bd786026-bad5-4fa8-9a3a-38ca03a16412,2020-03-23 21:07:01.836985,2020-03-23 21:15:47.386343,525.549358,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Yes,No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,Provide important support to central claim of the article.,7,5: 50-50
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,87c60a91-a55a-4a83-84f0-da127ad152c8,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2766,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,134f702e-1243-402f-94b2-05ed2e433f49,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 19:59:50.481315,2020-03-23 20:04:32.807697,282.326382,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Somewhat, yes",Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,Central idea/s of article.,4,9
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,87c60a91-a55a-4a83-84f0-da127ad152c8,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2766,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,e55199be-e792-4a28-bf6e-d961b1072be1,e44f5799-6915-45fd-874e-060f6afedcb9,2020-03-23 19:10:52.639799,2020-03-23 19:15:07.237728,254.597929,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Provide important support to central claim of the article.,6,6
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,87c60a91-a55a-4a83-84f0-da127ad152c8,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2766,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,af5864a1-eaff-4b17-9b06-c2a5927d6594,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 21:42:49.507588,2020-03-22 21:58:56.087608,966.58002,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,There's no way to know based on the information given,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,Provide important support to central claim of the article.,6,6
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,0214dcdb-838e-4947-8a8e-7cc8f8f2fce6,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2784,3,3,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,ae4a6d22-2671-4f37-b3f3-1334f2b0f1d3,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-24 04:20:27.768515,2020-03-24 04:21:57.046432,89.277917,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,Provide important support to central claim of the article.,7,4
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,0214dcdb-838e-4947-8a8e-7cc8f8f2fce6,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2784,3,3,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,d75cbc43-92c0-4974-ba2e-99007e3b8109,bba6ae56-fae7-4c7f-993a-866ea4c3efc2,2020-03-24 02:50:56.149895,2020-03-24 02:55:51.873527,295.723632,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,Yes,No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,Provide important support to central claim of the article.,5: Middling difficulty,6
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,0214dcdb-838e-4947-8a8e-7cc8f8f2fce6,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2784,3,3,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,8ccf8aa9-7cc3-41fe-b230-790a9b6428a6,bd786026-bad5-4fa8-9a3a-38ca03a16412,2020-03-23 21:53:17.932750,2020-03-24 01:14:50.861746,12092.928996,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,Central idea/s of article.,4,7
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b27a22c1-bea6-4620-abfa-428d27316d2a,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2763,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,d95581a8-e16c-4b83-b121-671d95b4db66,fed45769-aa61-4b8b-847e-a9c799acce15,2020-03-23 19:27:26.342714,2020-03-23 19:31:14.940720,228.598006,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Not really,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Irrelevant to central claim,9,3
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b27a22c1-bea6-4620-abfa-428d27316d2a,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2763,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,7e6cd08f-c231-4bb7-aacf-b907b7fe8dc5,e44f5799-6915-45fd-874e-060f6afedcb9,2020-03-23 19:08:35.799048,2020-03-23 19:09:53.870836,78.071788,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,There's no way to know based on the information given,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Provide non-essential context for article.,4,4
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,b27a22c1-bea6-4620-abfa-428d27316d2a,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2763,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,0408ab23-08c4-44f7-84d0-346001d59e93,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 21:00:18.882916,2020-03-22 21:40:11.603131,2392.720215,"T1.Q1, T1.Q2, T1.Q3, T1.Q4, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,There's no way to know based on the information given,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Provide non-essential context for article.,3,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,4479a237-11ec-4a69-bab1-090b44fb62a9,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2765,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,4a9e97c9-683c-4de4-a1ca-f37e1ac6f611,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 19:56:38.926219,2020-03-23 20:02:00.636666,321.710447,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,Not really,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,Provide important support to central claim of the article.,4,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,4479a237-11ec-4a69-bab1-090b44fb62a9,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2765,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,da2916da-f98a-4c1e-a199-3badbcddf294,e44f5799-6915-45fd-874e-060f6afedcb9,2020-03-23 19:09:54.098667,2020-03-23 19:13:42.544181,228.445514,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,There's no way to know based on the information given,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,Provide non-essential context for article.,5: Middling difficulty,5: 50-50
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,4479a237-11ec-4a69-bab1-090b44fb62a9,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2765,3,3,CovidArticles/2005CIAReportOnCoronavirus.txt,2005,2005CIAReportOnCoronavirus.txt,47990959103662e94e796d979018922afddc880fb4b867c7ca2ac8aa2146e7c4,7bdba915-0547-4f0f-9698-f1f805728835,00f548b7-6b63-4b47-828e-8e416b6ca0e2,2020-03-22 21:40:12.017893,2020-03-22 21:49:48.136914,576.119021,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,There's no way to know based on the information given,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,Provide non-essential context for article.,3,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7995a0fe-1c4a-4d51-9064-1897e7fdf297,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2773,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,39fb3cd3-e19a-406e-be0d-95ba3fb6c7c9,bd786026-bad5-4fa8-9a3a-38ca03a16412,2020-03-23 20:33:45.676322,2020-03-23 21:09:13.375222,2127.6989,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,"Somewhat, yes",No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,Central idea/s of article.,3,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7995a0fe-1c4a-4d51-9064-1897e7fdf297,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2773,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,dee87b6e-c090-4931-99d0-ac8e4ff6e337,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2020-03-23 20:35:45.845874,2020-03-23 20:35:45.892769,0.046895,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,Barely,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,Provide important support to central claim of the article.,2,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,7995a0fe-1c4a-4d51-9064-1897e7fdf297,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2773,3,3,CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,d1abd51e-ff1b-4ae6-aaa4-b99c37c75b2b,0b2ee377-65f2-4ac1-98da-5bc093fee7aa,2020-03-23 20:14:17.429407,2020-03-23 20:18:21.063905,243.634498,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",1,0,There's no way to know based on the information given,No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,Central idea/s of article.,3,8
Covid_Sources_2002_03_20v2.1,a6b4870c9329437fdad00a93adde41702f8693f96167ef4198b7d68912b699c4,23699e71-779c-4a97-81aa-e0bdc8c69432,https://pe.goodlylabs.org/project/Covid_SourceRelevancev1/task/2787,4,3,CovidArticles/SARS-CoV-2CanLiveOnPlastic.txt,100058,SARS-CoV-2CanLiveOnPlastic.txt,be0b18a87d4370fa579180ef26dcb7080598f27f9ec76181f2cfd851f320da06,35530ff4-b10d-4c93-8544-09a61aceb05e,4e256eb7-841b-4239-b6cf-b782de8e492c,2020-03-24 04:54:35.498011,2020-03-24 05:10:45.286989,969.788978,"T1.Q1, T1.Q2, T1.Q3, T1.Q5, T1.Q6, T1.Q7, T1.Q8, T1.Q9, T1.Q10",0,1,"Yes, definitely",No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,Provide important support to central claim of the article.,2,9
