article_filename,article_sha256,task_uuid,namespace,start_pos,end_pos,topic_name,case_number,target_text
Hand Dryers Spread Bacteria So Dramatically That Scientists Think They_re A Public Health Threat.txt,c313c54764cdcdc5a5ceac0f392a44aff2b7c8349ba490f7785253ac35708a6d,13bd070b-4b3c-4e59-bea2-c4fc3b871bf1,QuotedSources_2018_07_11,2853,3047,Quoted Sources,1,"Consequently, we believe that electric hand dryers are not suited to clinical settings, and, as such, existing (e.g. NHS) infection control building guidance needs to be amended and strengthened"
Hand Dryers Spread Bacteria So Dramatically That Scientists Think They_re A Public Health Threat.txt,c313c54764cdcdc5a5ceac0f392a44aff2b7c8349ba490f7785253ac35708a6d,13bd070b-4b3c-4e59-bea2-c4fc3b871bf1,QuotedSources_2018_07_11,3574,4034,Quoted Sources,1,"The problem starts because some people do not wash their hands properly,\u201d Wilcox explained. \u201cIn effect, the dryer creates an aerosol that contaminates the toilet room, including the dryer itself and potentially the sinks, floor and other surfaces, depending on the dryer design and where it is sited.\r\n\r\n\u201cHowever, paper towels absorb the water and microbes left on the hands and if they are disposed of properly, there is less potential for cross-contamination"
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,Arguments_2018_08_21,270,357,Arguments,1,first-borns increases because they have to teach their younger siblings how things work
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,Arguments_2018_08_21,915,996,Arguments,1,first-born children also show a heightened perception of their brain capabilities
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,Assertions_2018_08_21,125,195,Assertions,1,Your oldest child really has the potential to become the next Einstein
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,QuotedSources_2018_07_11,1194,1291,Quoted Sources,1,"One theory is that following children ""dilute"" the resources of their parents."", Dr. Julia Rohrer"
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,QuotedSources_2018_07_11,1317,1450,Quoted Sources,1,"While the firstborn gets full parental attention, at least for some months or years, late-borns will have to share from the beginning"
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,QuotedSources_2018_07_11,1457,1618,Quoted Sources,1,"Another possible factor is described by the tutoring hypothesis: A firstborn can \u201ctutor\u201d their younger siblings, explaining to them how the world works and so on"
Science Says the First Born Child Is the Most Intelligent.txt,c682114cf1f080c8f7b3b68130e3bfee4f9c0e7c132528f39581d72ec8d08011,0c8c70c2-2bf9-461e-9c6e-b93352459202,QuotedSources_2018_07_11,1625,1860,Quoted Sources,1,"Teaching other people has high cognitive demands \u2013 the children need to recall their own knowledge, structure it and think of a good way to explain it to younger siblings, which could provide a boost to intelligence for some firstborns"
"Smartphones, tablets causing mental health issues in kids as young as two.txt",d83181d3f0e6a4e91c85673d8a13823a48c0725de3acbaf631d7d58ce0ef3ff5,fde25685-294b-4c28-8dab-227897655a99,QuotedSources_2018_07_11,971,1318,Quoted Sources,1,"Half of mental health problems develop by adolescence,"" professors Jean Twenge and Keith Campbell said. ""There is a need to identify factors linked to mental health issues that are [able to be changed] in this population, as most are difficult or impossible to influence. How children and adolescents spend their leisure time is [easier] to change"
"Smartphones, tablets causing mental health issues in kids as young as two.txt",d83181d3f0e6a4e91c85673d8a13823a48c0725de3acbaf631d7d58ce0ef3ff5,fde25685-294b-4c28-8dab-227897655a99,QuotedSources_2018_07_11,2360,2704,Quoted Sources,1,"Professor Twenge said: ""At first, I was surprised the associations were larger for adolescents. However, teens spend more time on their phones and on social media, and we know from other research that these activities are more strongly linked to low wellbeing than watching television and videos, which is most of younger children's screen time"
"Smartphones, tablets causing mental health issues in kids as young as two.txt",d83181d3f0e6a4e91c85673d8a13823a48c0725de3acbaf631d7d58ce0ef3ff5,fde25685-294b-4c28-8dab-227897655a99,QuotedSources_2018_07_11,3548,3795,Quoted Sources,1,"They said: ""Previous research on associations between screen time and psychological well being among children and adolescents has been conflicting, leading some researchers to question the limits on screen time suggested by physician organisations"
