,article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text,arg_T1.Q1,source_T1.Q1,source_T1.Q2,source_T1.Q3,source_T1.Q4
30,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,2048ae9f-4004-4525-9af4-66bc51fd33a3,QuotedSources_2018_07_11,Quoted Sources,6,,{},1,3267,3306,"In a separate analysis, the researchers",0.0,L,L,L,2
28,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,f0777498-67bd-499c-b6c8-d0ce3f4092c2,QuotedSources_2018_07_11,Quoted Sources,4,,{},1,2007,2020,long-term use,0.0,L,M,M,2
25,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,d9c96297-95aa-4531-8040-f03fbcd429f1,QuotedSources_2018_07_11,Quoted Sources,1,,{},1,1032,1255,"In a new study in the New England Journal of Medicine, researchers tried to tease out that link. And they found doctors\u2019 prescribing habits \u2014 whether they give out opioids at a higher rate versus a lower rate \u2014 matter a lot",0.0,L,L,L,2
34,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,2dc0962a-d7c3-4306-aa8a-a60a812252ff,QuotedSources_2018_07_11,Quoted Sources,10,,{},1,3799,4116,"He and his co-authors tried to figure out what caused some doctors to prescribe more than others, looking at details like age, gender, and where the doctor trained \u2014 but they didn\u2019t find much. \u201cIt could be something as simple as prescribing the way that your mentors prescribed when you were training,\u201d Jena explained",0.0,L,M,M,3
35,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,c1dae82b-f978-4268-8daa-1feaed48d03d,QuotedSources_2018_07_11,Quoted Sources,11,,{},1,4119,4325,"The research highlights the need to better educate doctors on how to safely prescribe these drugs, said lead  study author Michael  Barnett, an assistant professor of health policy and management at Harvard",0.0,M,2,L,2
29,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,c1533f7e-18de-4501-b7e8-acf807a44c10,QuotedSources_2018_07_11,Quoted Sources,5,,{},1,2637,2850,"If our results represent a causal relationship, for every 48 patients prescribed a new opioid in the emergency department who might not otherwise use opioids, 1 will become a long-term user,\u201d the researchers wrote",0.0,9,1,L,2
36,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,be18c5e4-3d11-46f7-9dc4-2ba0ab39329c,QuotedSources_2018_07_11,Quoted Sources,12,,{},1,4327,4488,There\u2019s very little guidance in training and in medical practice on how much opioids to prescribe \u2014 which is why the profession is now galvanizing to change that,0.0,L,2,L,3
27,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,526833dc-75ae-4d52-9f84-526eb85ec352,QuotedSources_2018_07_11,Quoted Sources,3,,{},1,1579,1596,The study authors,0.0,L,2,L,2
31,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,343fe86e-09a8-4e21-970e-05aaced365b1,QuotedSources_2018_07_11,Quoted Sources,7,,{},1,3406,3492,found the same effect: 30 percent higher use when patients saw higher dose prescribers,0.0,L,2,6,2
33,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,bde933c5-9e2e-4297-bdfb-6d7e92c9467a,QuotedSources_2018_07_11,Quoted Sources,9,,{},1,3618,3796,"When it comes to opioids, it certainly seems to be the case that [the doctor] you see matters,\u201d said Anupam Jena, a professor at Harvard Medical School and an author on the study",0.0,L,1,M,1
32,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,5385,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,f38b107b-8f1c-4120-b427-4687a98fcfa0,Adjudicator catharinewu task 818 article number 1712,True,7919f383-3769-46e3-83b5-bf55ecb84db2,7364c1e0-e91a-423f-a371-f044fc95173b,QuotedSources_2018_07_11,Quoted Sources,8,,{},1,3505,3614,researchers also acknowledged this long-term use required prescriptions from other doctors after the ER visit,0.0,L,2,M,2
0,Demo2,100003,politicalarticle4.txt,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,5548,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,99e29da1-39a3-4afd-9c3f-5e90e616abc4,Adjudicator catharinewu task 770 article number 100003,True,ecd50082-5067-4ba7-b999-35d7a0bdb172,bee4ffa6-429c-4b33-a5a5-4e7983016b9f,QuotedSources_2018_07_11,Quoted Sources,2,,{},2,7,93,"Chinese warship in 'unsafe' encounter with US destroyer, amid rising US-China tensions",0.0,L,M,M,1
1,Demo2,100003,politicalarticle4.txt,a6fcbf8586604384bb115f91548ac28ed364a552a807849b74eca72e38ccf8be,5548,42324115-ad7b-4558-8fd7-3cb44e99bb31,Demo2_FormTriager.adjudicated,99e29da1-39a3-4afd-9c3f-5e90e616abc4,Adjudicator catharinewu task 770 article number 100003,True,ecd50082-5067-4ba7-b999-35d7a0bdb172,bee4ffa6-429c-4b33-a5a5-4e7983016b9f,QuotedSources_2018_07_11,Quoted Sources,2,,{},2,168,459,"A US Navy ship had an ""unsafe"" interaction with a Chinese warship Sunday while the US vessel was conducting a freedom of navigation operation near the disputed Spratly Islands in the South China Sea, causing the US ship to maneuver ""to prevent a collision,"" according to US defense officials",0.0,L,M,M,1
