schema_namespace,schema_sha256,quiz_task_uuid,task_url,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q2.A1,T1.Q2.A2,T1.Q3.A1,T1.Q3.A2,T1.Q3.A3,T1.Q3.A4,T1.Q3.A5,T1.Q4
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,fbed6706-5931-4fbb-acd7-1762d2561bd6,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1279,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,6fa7b86d-0c00-4675-92da-1752832ff7b1,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 06:06:00.018681,2018-08-30 06:15:50.178569,590.159888,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,fbed6706-5931-4fbb-acd7-1762d2561bd6,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1279,SSSPETest1-Demo1,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,86013f56-7473-4ad6-a9ae-5070f90d549b,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:19:00.955910,2018-08-30 19:22:51.284807,230.328897,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,9e05c07f-6c44-4d50-a40b-d70300735c23,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1280,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,38f4907f-7d80-4cb4-b154-e155ad5bbffa,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 06:13:48.567675,2018-08-30 06:18:22.061284,273.493609,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,9e05c07f-6c44-4d50-a40b-d70300735c23,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1280,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,b947171a-938b-423e-871a-3b024c2fc016,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:20:43.311495,2018-08-30 19:26:06.144200,322.832705,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,They provide some background and context for the article but are not very important to any of its arguments.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3f3e1509-8d55-4d55-ad05-27a1f2761a3e,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1281,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,d4d1eb45-0b2b-4ac1-af29-4a2b2488d177,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 06:15:50.570750,2018-08-30 06:54:02.906668,2292.335918,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,They are the key idea/s the author is trying to advance with the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,3f3e1509-8d55-4d55-ad05-27a1f2761a3e,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1281,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,bf21bb45-944c-4ba2-a1c2-00676700b5fb,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:22:51.613983,2018-08-30 19:28:33.678274,342.064291,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,7cc6ba30-ae1d-4e13-90ee-6db54314c53a,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1282,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,1bad73ba-6653-45a2-82b5-ffadd5948390,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 06:18:22.484535,2018-08-30 07:03:10.303596,2687.819061,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,7cc6ba30-ae1d-4e13-90ee-6db54314c53a,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1282,SSSPETest3-Demo1,1721,1721SSSArticle.txt,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,7dd8a957-d8dc-4799-be24-38f2ed2a2054,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:26:06.431765,2018-08-30 19:29:57.578618,231.146853,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,53c64d72-2635-402f-ac67-453f3861db40,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1283,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,71ed1ef3-ac14-48ea-8a23-08adf2053ce2,6674ceea-e6bd-4e8b-8a7b-a8b8177a2fb4,2018-08-30 06:54:03.270537,2018-08-30 07:03:46.944730,583.674193,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,They provide important support to an important argument the author advances in the article.
SourceSpecialist2018_08_29,9f6e1def551f1746a51d0c4d7bab3b7554550fc17be2701ab764bb631f03832f,53c64d72-2635-402f-ac67-453f3861db40,http://pe.goodlylabs.org/project/Demo1QuoSour/task/1283,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,b4a66939-11bf-4980-917f-642744208c84,4d4804c7-23f6-4210-b2b6-9ef4536f17fb,2018-08-30 19:28:34.059121,2018-08-30 19:30:45.405290,131.346169,"T1.Q1, T1.Q2, T1.Q3, T1.Q4",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,They provide important support to an important argument the author advances in the article.
