,Answer_Number,Label,Point_Recommendation,Question_Number,Question_Number_V2,Question_Type,Schema,Unnamed: 0,Unnamed: 0.1,agreed_Answer,agreement_adjusted_points,agreement_score,alpha_unitizing_score,alpha_unitizing_score_inclusive,answer_content,answer_uuid,article_num,article_sha256,binary_odds_by_chance,coding_perc_agreement,highlighted_indices,num_answer_choices,num_users,odds_by_chance,one_two_diff,prereq_passed,question_text,question_type,quiz_task_uuid,schema,schema_namespace,schema_sha256,target_text
9,4.0,Alternative explanation,-1.0,9.0,,ordinal,Evidence,9,151.0,4.0,-0.610051862786448,0.610051862786448,,,Somewhat less likely,35499046-45e5-40b4-a10d-01d58df21318,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.610051862786448,[],5.0,17.0,,0.610051862786448,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
10,4.0,Alternative explanation,-1.0,9.0,,ordinal,Evidence,10,197.0,4.0,-0.6854769611161382,0.6854769611161382,,,Somewhat less likely,35499046-45e5-40b4-a10d-01d58df21318,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.6854769611161382,[],5.0,14.0,,0.6854769611161382,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,f676179d-3cf0-4ab1-9bb3-5126cd117f2f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
11,5.0,Alternative explanation,0.0,9.0,,ordinal,Evidence,11,60.0,5.0,0.0,0.9558304053593006,,,Much less likely,9e75d97b-2c03-4988-9cf6-079eb0b75308,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.9558304053593006,[],5.0,13.0,,0.9558304053593006,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
12,5.0,Alternative explanation,0.0,9.0,,ordinal,Evidence,12,15.0,5.0,0.0,0.8648259251435817,,,Much less likely,9e75d97b-2c03-4988-9cf6-079eb0b75308,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.8648259251435817,[],5.0,6.0,,0.8648259251435817,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
13,5.0,Alternative explanation,0.0,9.0,,ordinal,Evidence,13,37.0,5.0,0.0,0.7936657589582087,,,Much less likely,9e75d97b-2c03-4988-9cf6-079eb0b75308,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.7936657589582087,[],5.0,7.0,,0.7936657589582087,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,0a3bcbba-d029-4e0e-a5e3-88f2781f5772,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
14,5.0,Alternative explanation,0.0,9.0,,ordinal,Evidence,14,107.0,5.0,0.0,0.779631851931354,,,Much less likely,9e75d97b-2c03-4988-9cf6-079eb0b75308,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.779631851931354,[],5.0,11.0,,0.779631851931354,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,719108fa-1be3-40a7-8a4a-1c8a0312ecf6,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
15,5.0,Alternative explanation,0.0,9.0,,ordinal,Evidence,15,84.0,5.0,0.0,0.7801389340444429,,,Much less likely,9e75d97b-2c03-4988-9cf6-079eb0b75308,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.7801389340444429,[],5.0,17.0,,0.7801389340444429,True,"How likely is your alternative explanation for the same evidence, as compared to the author’s explanation?",ordinal,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
16,1.0,Statistical uncertainty,-3.0,11.0,,ordinal,Evidence,16,152.0,1.0,-1.8582495053155808,0.6194165017718603,0.42882510283382613,0.2568612328768972,Yes,6b91c6e6-6b29-4764-bd76-9de24caa5cce,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.8100079007098944,"[2954, 2955, 2956, 2957, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969, 2970, 2971, 2972, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 2996, 2997, 2998, 2999, 3000, 3001, 3002, 3003, 3004, 3005, 3006, 3007, 3008, 3009, 3010, 3011, 3012, 3013, 3014, 3015, 3016]",3.0,17.0,,0.8100079007098944,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,30 percent more likely to become long-term users of painkillers
17,1.0,Statistical uncertainty,-3.0,11.0,,ordinal,Evidence,17,61.0,1.0,-0.8386413429790733,0.27954711432635776,L,L,Yes,6b91c6e6-6b29-4764-bd76-9de24caa5cce,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.5590942286527155,L,3.0,17.0,,0.5590942286527155,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
18,1.0,Statistical uncertainty,-3.0,11.0,,ordinal,Evidence,18,16.0,1.0,-1.981670474885799,0.660556824961933,0.6846497569192737,0.5313125882283567,Yes,6b91c6e6-6b29-4764-bd76-9de24caa5cce,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6364638930045924,"[3513, 3514, 3515, 3516, 3517, 3518, 3519, 3520, 3521, 3522, 3523, 3524, 3525, 3526, 3527, 3528, 3529, 3530, 3531, 3532, 3533, 3534, 3535, 3536, 3537, 3538, 3539, 3540, 3541, 3542, 3543, 3544, 3545, 3546, 3547, 3548, 3549, 3550, 3551, 3552, 3553, 3554, 3555, 3556, 3557, 3558, 3559, 3560, 3561, 3562, 3563, 3564, 3565, 3566, 3567, 3568, 3569, 3570, 3571, 3572, 3573, 3574, 3575, 3576, 3577, 3578, 3579, 3580, 3581, 3582, 3583, 3584, 3585, 3586, 3587, 3588, 3589, 3590, 3591, 3592, 3593, 3594, 3595, 3596, 3597, 3598, 3599, 3600, 3601, 3602, 3603, 3604, 3605, 3606, 3607, 3608, 3609, 3610, 3611, 3612, 3613, 3614, 3615, 3616, 3617, 3618, 3619, 3620, 3621, 3622, 3623, 3624, 3625, 3626, 3627, 3628, 3629, 3630, 3631, 3632, 3633, 3634, 3635, 3636, 3637, 3638, 3639, 3640, 3641, 3642, 3643, 3644, 3645, 3646, 3647, 3648, 3649, 3650, 3651, 3652, 3653, 3654, 3655, 3656]",3.0,19.0,,0.6364638930045924,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,"One in every 68 children is diagnosed with autism; but among the younger siblings of a child on the spectrum, the rate is as high as one in five"
19,1.0,Statistical uncertainty,-3.0,11.0,,ordinal,Evidence,19,175.0,1.0,-2.0558291175477743,0.6852763725159248,0.7071444131408285,0.44544630998081314,Yes,6b91c6e6-6b29-4764-bd76-9de24caa5cce,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6634083318910209,"[1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 1310, 1311, 1312, 1313, 1314, 1315, 1316, 1317, 1318, 1319, 1320, 1321, 1322, 1323, 1324, 1325, 1326, 1327, 1328, 1329, 1330, 1331, 1332, 1333, 1334, 1335, 1336, 1337, 1338, 1339, 1340, 1341, 1342, 1343, 1344, 1345, 1346, 1347, 1348, 1349, 1350, 1351, 1352, 1353, 1354, 1355, 1356, 1357, 1358, 1359, 1360, 1361, 1362, 1363, 1364, 1365, 1366, 1367, 1368, 1369, 1370, 1371, 1372, 1373, 1374, 1375, 1376, 1377, 1378, 1379, 1380, 1381]",3.0,18.0,,0.6634083318910209,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,d2de0341-c711-40d0-9790-176e94e84c67,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,The faster growth rate of the surface areas of their brains correctly predicted eight times out of 10 which of the high-risk children would go on to be diagnosed with the condition
20,1.0,Statistical uncertainty,-3.0,11.0,,ordinal,Evidence,20,85.0,1.0,-0.8526671436161601,0.28422238120538673,L,L,Yes,6b91c6e6-6b29-4764-bd76-9de24caa5cce,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.5684447624107735,L,3.0,17.0,,0.5684447624107735,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
21,3.0,Statistical uncertainty,-1.0,11.0,,ordinal,Evidence,21,129.0,3.0,-0.6742533646538111,0.6742533646538111,0.7630540272572975,0.4377581364491667,No,34827ff1-7a42-491c-aa53-672bb88da0d7,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.5854527020503246,"[4817, 4818, 4819, 4820, 4821, 4822, 4823, 4824, 4825, 4826, 4827, 4828, 4829, 4830, 4831, 4832, 4833, 4834, 4835, 4836, 4837, 4838, 4839, 4840, 4841, 4842, 4843, 4844, 4845, 4846, 4847, 4848, 4849, 4850, 4851, 4852, 4853, 4854, 4855, 4856, 4857, 4858, 4859, 4860, 4861, 4862, 4863, 4864, 4865, 4866, 4867, 4868, 4869, 4870, 4871, 4872]",3.0,17.0,,0.5854527020503246,True,Is data presented as evidence for a pattern (e.g. a relationship between two variables)?,ordinal,983244f8-22a2-4674-8c34-b2c83e3c755e,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,as you can see in this chart of prescriptions per doctor
22,2.0,Systematic uncertainty,-2.0,12.0,,ordinal,Evidence,22,17.0,2.0,-1.2427812138790144,0.6213906069395072,,,Somewhat Likely,4382844c-6ce2-4d76-a8db-ef2d753538b7,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6213906069395072,[],5.0,16.0,,0.6213906069395072,True,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",ordinal,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
23,4.0,Systematic uncertainty,-0.5,12.0,,ordinal,Evidence,23,176.0,4.0,-0.3544662424570351,0.7089324849140702,,,Somewhat Unlikely,e24e7168-e34b-45de-9916-a52ae4111c06,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.7089324849140702,[],5.0,15.0,,0.7089324849140702,True,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",ordinal,d2de0341-c711-40d0-9790-176e94e84c67,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
24,4.0,Systematic uncertainty,-0.5,12.0,,ordinal,Evidence,24,86.0,4.0,-0.4171583424838258,0.8343166849676517,,,Somewhat Unlikely,e24e7168-e34b-45de-9916-a52ae4111c06,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.8343166849676517,[],5.0,13.0,,0.8343166849676517,True,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",ordinal,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
25,5.0,Systematic uncertainty,0.0,12.0,,ordinal,Evidence,25,153.0,5.0,0.0,0.6578146112597828,,,Very Unlikely,3d9c91c9-b7be-4052-8eb2-a039a1826b23,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.6578146112597828,[],5.0,17.0,,0.6578146112597828,True,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",ordinal,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
26,5.0,Systematic uncertainty,0.0,12.0,,ordinal,Evidence,26,62.0,5.0,0.0,0.6171944959202604,,,Very Unlikely,3d9c91c9-b7be-4052-8eb2-a039a1826b23,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.6171944959202604,[],5.0,13.0,,0.6171944959202604,True,"Given the information you have, how likely is it that the apparent pattern is a result of random statistical variation or error (noise)?",ordinal,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
27,1.0,Open to evidence,0.0,13.0,,ordinal,Evidence,27,154.0,1.0,0.0,0.6074990831934979,,,Extremely Likely,36679d78-849e-4232-86f5-660ecc6d0b9e,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.6074990831934979,[],5.0,17.0,,0.6074990831934979,True,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",ordinal,99968e91-36d0-4be9-a40f-858fdc0451d0,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
28,2.0,Open to evidence,-0.5,13.0,,ordinal,Evidence,28,63.0,2.0,-0.2872529169698261,0.5745058339396523,,,Somewhat Likely,775e9d4e-9180-433a-9d01-332cf58222b4,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,,0.5745058339396523,[],5.0,13.0,,0.5745058339396523,True,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",ordinal,0b99412a-f09e-4153-9a36-74674e987a79,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
29,4.0,Open to evidence,-2.0,13.0,,ordinal,Evidence,29,18.0,4.0,-1.3205377429618397,0.6602688714809197,,,Somewhat Unlikely,6bb0b3e9-33c3-4752-9cfc-1182ab78fd05,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6602688714809197,[],5.0,16.0,,0.6602688714809197,True,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",ordinal,025a8515-ff9b-4ce9-b56a-ab8bdf2ca8c1,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
30,4.0,Open to evidence,-2.0,13.0,,ordinal,Evidence,30,177.0,4.0,-1.361359374297778,0.6806796871488889,,,Somewhat Unlikely,6bb0b3e9-33c3-4752-9cfc-1182ab78fd05,1721.0,dbbab7ece1d8402b23783838539eb009f3064910120403ced379ee8185421ec9,,0.6806796871488889,[],5.0,15.0,,0.6806796871488889,True,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",ordinal,d2de0341-c711-40d0-9790-176e94e84c67,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
31,4.0,Open to evidence,-2.0,13.0,,ordinal,Evidence,31,87.0,4.0,-1.5237860395527745,0.7618930197763871,,,Somewhat Unlikely,6bb0b3e9-33c3-4752-9cfc-1182ab78fd05,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,,0.7618930197763871,[],5.0,13.0,,0.7618930197763871,True,"Given the information you have, how likely is it that the apparent pattern is a result of some systematic error (a systematic bias in the study that could not be cancelled out by collecting more data)?",ordinal,5257406f-8cb8-42b8-b4dd-799e0a22931f,Evidence,Evidence Specialist,16bce7d8c21dc827d03e08ebd67c420f718c2dad9ed50311c825fddddca7b06e,
32,,,,,,,,Quality of evidence,,,0.0,,,,,,,,,,,,,,,,,,,,,,
0,1.0,Inappropriate confidence,0.0,2.0,,ordinal,Probability,0,59.0,1.0,0.0,0.9543918083934404,,,Completely justified,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.9543918083934404,[],5.0,13.0,0.5,0.9543918083934404,True,To what extent does the confidence seem justified?,ordinal,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability,Probability Specialist V4,,
1,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,1,136.0,2.0,-0.4041106963946881,0.8082213927893762,,,Mostly justified,,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.8082213927893762,[],5.0,12.0,0.5,0.8082213927893762,True,To what extent does the confidence seem justified?,ordinal,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability,Probability Specialist V4,,
2,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,2,91.0,2.0,-0.3941272640594369,0.7882545281188738,,,Mostly justified,,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.7882545281188738,[],5.0,11.0,0.5,0.7882545281188738,True,To what extent does the confidence seem justified?,ordinal,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability,Probability Specialist V4,,
3,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,3,129.0,2.0,-0.34334398891459683,0.6866879778291937,,,Mostly justified,,1731.0,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0.5,0.6866879778291937,[],5.0,12.0,0.5,0.6866879778291937,True,To what extent does the confidence seem justified?,ordinal,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability,Probability Specialist V4,,
